game_id,home_wins,odds,amount
21400073,W,-110,1
21400077,W,-110,1
21400079,W,-110,1
21400086,L,-110,1
21400088,L,-110,1
21400090,L,-110,1
21400091,L,-110,1
21400092,W,-110,1
21400093,W,-110,1
21400094,W,-110,1
21400098,L,-110,1
21400099,W,-110,1
21400100,L,-110,1
21400101,L,-110,1
21400102,L,-110,1
21400103,L,-110,1
21400104,L,-110,1
21400106,W,-110,1
21400107,L,-110,1
21400108,W,-110,1
21400109,L,-110,1
21400111,L,-110,1
21400112,L,-110,1
21400113,W,-110,1
21400114,L,-110,1
21400115,L,-110,1
21400116,W,-110,1
21400118,W,-110,1
21400119,L,-110,1
21400121,W,-110,1
21400124,L,-110,1
21400126,W,-110,1
21400127,L,-110,1
21400129,L,-110,1
21400130,L,-110,1
21400131,L,-110,1
21400132,L,-110,1
21400134,W,-110,1
21400135,L,-110,1
21400136,L,-110,1
21400137,W,-110,1
21400138,W,-110,1
21400139,L,-110,1
21400142,L,-110,1
21400143,W,-110,1
21400144,L,-110,1
21400145,L,-110,1
21400146,L,-110,1
21400147,L,-110,1
21400148,L,-110,1
21400150,W,-110,1
21400153,L,-110,1
21400154,W,-110,1
21400156,L,-110,1
21400157,L,-110,1
21400158,L,-110,1
21400159,L,-110,1
21400160,L,-110,1
21400161,W,-110,1
21400162,L,-110,1
21400164,W,-110,1
21400165,L,-110,1
21400167,L,-110,1
21400168,L,-110,1
21400169,L,-110,1
21400170,L,-110,1
21400172,W,-110,1
21400173,L,-110,1
21400174,L,-110,1
21400176,L,-110,1
21400177,L,-110,1
21400178,L,-110,1
21400179,W,-110,1
21400180,W,-110,1
21400181,L,-110,1
21400182,W,-110,1
21400183,W,-110,1
21400184,W,-110,1
21400185,L,-110,1
21400186,L,-110,1
21400188,L,-110,1
21400189,L,-110,1
21400190,W,-110,1
21400192,L,-110,1
21400194,W,-110,1
21400195,L,-110,1
21400196,L,-110,1
21400197,L,-110,1
21400198,W,-110,1
21400199,W,-110,1
21400200,L,-110,1
21400201,W,-110,1
21400202,W,-110,1
21400203,L,-110,1
21400204,L,-110,1
21400205,L,-110,1
21400206,L,-110,1
21400208,L,-110,1
21400209,W,-110,1
21400210,W,-110,1
21400211,W,-110,1
21400212,L,-110,1
21400213,W,-110,1
21400214,W,-110,1
21400215,W,-110,1
21400216,L,-110,1
21400218,W,-110,1
21400219,L,-110,1
21400220,L,-110,1
21400221,L,-110,1
21400222,L,-110,1
21400223,L,-110,1
21400224,W,-110,1
21400225,W,-110,1
21400226,L,-110,1
21400227,L,-110,1
21400228,L,-110,1
21400231,L,-110,1
21400232,W,-110,1
21400233,W,-110,1
21400234,L,-110,1
21400236,L,-110,1
21400237,W,-110,1
21400238,W,-110,1
21400239,L,-110,1
21400240,L,-110,1
21400241,L,-110,1
21400242,L,-110,1
21400243,W,-110,1
21400244,W,-110,1
21400245,L,-110,1
21400246,L,-110,1
21400247,L,-110,1
21400248,L,-110,1
21400249,L,-110,1
21400251,W,-110,1
21400253,L,-110,1
21400254,L,-110,1
21400256,L,-110,1
21400257,W,-110,1
21400259,L,-110,1
21400260,W,-110,1
21400261,L,-110,1
21400262,L,-110,1
21400263,L,-110,1
21400264,L,-110,1
21400265,W,-110,1
21400266,W,-110,1
21400267,W,-110,1
21400268,L,-110,1
21400269,L,-110,1
21400270,L,-110,1
21400271,L,-110,1
21400273,W,-110,1
21400274,L,-110,1
21400276,W,-110,1
21400277,W,-110,1
21400278,W,-110,1
21400279,W,-110,1
21400280,L,-110,1
21400281,L,-110,1
21400282,L,-110,1
21400283,L,-110,1
21400284,W,-110,1
21400285,L,-110,1
21400286,L,-110,1
21400287,L,-110,1
21400288,L,-110,1
21400289,L,-110,1
21400290,L,-110,1
21400291,W,-110,1
21400292,W,-110,1
21400294,W,-110,1
21400295,L,-110,1
21400296,W,-110,1
21400297,W,-110,1
21400298,W,-110,1
21400299,L,-110,1
21400300,L,-110,1
21400301,L,-110,1
21400302,L,-110,1
21400303,L,-110,1
21400304,L,-110,1
21400305,L,-110,1
21400306,W,-110,1
21400307,L,-110,1
21400308,L,-110,1
21400309,L,-110,1
21400310,W,-110,1
21400311,W,-110,1
21400312,W,-110,1
21400313,L,-110,1
21400314,W,-110,1
21400315,L,-110,1
21400316,W,-110,1
21400317,L,-110,1
21400318,L,-110,1
21400320,W,-110,1
21400321,W,-110,1
21400322,L,-110,1
21400323,L,-110,1
21400324,L,-110,1
21400325,W,-110,1
21400326,L,-110,1
21400327,L,-110,1
21400328,L,-110,1
21400329,W,-110,1
21400330,L,-110,1
21400331,W,-110,1
21400333,W,-110,1
21400334,L,-110,1
21400335,L,-110,1
21400336,L,-110,1
21400338,L,-110,1
21400339,L,-110,1
21400340,W,-110,1
21400341,W,-110,1
21400342,L,-110,1
21400343,L,-110,1
21400344,W,-110,1
21400345,L,-110,1
21400346,L,-110,1
21400347,L,-110,1
21400348,W,-110,1
21400349,L,-110,1
21400350,W,-110,1
21400351,L,-110,1
21400353,W,-110,1
21400354,L,-110,1
21400355,L,-110,1
21400356,W,-110,1
21400358,L,-110,1
21400359,L,-110,1
21400360,L,-110,1
21400361,W,-110,1
21400362,W,-110,1
21400363,W,-110,1
21400364,W,-110,1
21400365,L,-110,1
21400366,L,-110,1
21400367,L,-110,1
21400368,L,-110,1
21400369,L,-110,1
21400370,W,-110,1
21400371,L,-110,1
21400372,L,-110,1
21400373,L,-110,1
21400374,W,-110,1
21400375,L,-110,1
21400377,L,-110,1
21400378,L,-110,1
21400379,L,-110,1
21400380,L,-110,1
21400381,L,-110,1
21400382,L,-110,1
21400383,L,-110,1
21400384,L,-110,1
21400385,W,-110,1
21400386,W,-110,1
21400387,L,-110,1
21400388,L,-110,1
21400389,L,-110,1
21400390,L,-110,1
21400391,L,-110,1
21400392,W,-110,1
21400393,L,-110,1
21400394,W,-110,1
21400396,L,-110,1
21400398,L,-110,1
21400399,L,-110,1
21400400,L,-110,1
21400401,W,-110,1
21400402,L,-110,1
21400403,L,-110,1
21400404,W,-110,1
21400405,L,-110,1
21400406,W,-110,1
21400407,W,-110,1
21400408,L,-110,1
21400409,W,-110,1
21400410,L,-110,1
21400412,L,-110,1
21400413,L,-110,1
21400414,L,-110,1
21400415,W,-110,1
21400416,W,-110,1
21400418,W,-110,1
21400419,L,-110,1
21400420,L,-110,1
21400421,L,-110,1
21400422,L,-110,1
21400423,L,-110,1
21400424,L,-110,1
21400425,W,-110,1
21400426,L,-110,1
21400427,L,-110,1
21400428,L,-110,1
21400429,L,-110,1
21400430,L,-110,1
21400431,W,-110,1
21400432,L,-110,1
21400433,L,-110,1
21400435,L,-110,1
21400436,L,-110,1
21400437,W,-110,1
21400438,W,-110,1
21400439,L,-110,1
21400440,W,-110,1
21400441,W,-110,1
21400442,L,-110,1
21400443,W,-110,1
21400444,L,-110,1
21400445,W,-110,1
21400446,L,-110,1
21400447,L,-110,1
21400448,L,-110,1
21400449,L,-110,1
