Team,Opp,Date,Day,SUr,ATSr,OUr,ot,game_id,match id,Home,Away,Result,won bet
Lakers,Pelicans,7-Dec-14,Sun,L,L,U,0,21400300,20141207NOPLAL,LAL,NOP,L,1
Lakers,Pelicans,1-Apr-15,Wed,L,L,O,0,21401123,20150401NOPLAL,LAL,NOP,L,1
Pelicans,Lakers,12-Nov-14,Wed,W,L,O,0,21400114,20141112LALNOP,NOP,LAL,W,0
Pelicans,Lakers,21-Jan-15,Wed,W,W,U,0,21400632,20150121LALNOP,NOP,LAL,W,1
Lakers,Raptors,30-Nov-14,Sun,W,W,O,1,21400248,20141130TORLAL,LAL,TOR,L,0
Raptors,Lakers,27-Mar-15,Fri,W,W,U,0,21401080,20150327LALTOR,TOR,LAL,W,1
Lakers,Rockets,28-Oct-14,Tue,L,L,U,0,21400003,20141028HOULAL,LAL,HOU,L,1
Lakers,Rockets,25-Jan-15,Sun,L,L,U,0,21400667,20150125HOULAL,LAL,HOU,L,1
Rockets,Lakers,19-Nov-14,Wed,L,L,U,0,21400169,20141119LALHOU,HOU,LAL,W,0
Pacers,Pelicans,23-Dec-14,Tue,W,W,U,0,21400417,20141223NOPIND,IND,NOP,L,0
Pelicans,Pacers,11-Feb-15,Wed,L,L,O,0,21400794,20150211INDNOP,NOP,IND,W,0
Pacers,Raptors,27-Jan-15,Tue,L,L,O,0,21400675,20150127TORIND,IND,TOR,L,1
Pacers,Raptors,16-Mar-15,Mon,L,L,O,0,21400990,20150316TORIND,IND,TOR,L,1
Raptors,Pacers,12-Dec-14,Fri,W,W,O,0,21400333,20141212INDTOR,TOR,IND,W,1
Pacers,Rockets,23-Mar-15,Mon,L,L,O,0,21401048,20150323HOUIND,IND,HOU,L,1
Rockets,Pacers,19-Jan-15,Mon,W,W,O,0,21400617,20150119INDHOU,HOU,IND,W,1
Pacers,Lakers,15-Dec-14,Mon,W,W,O,0,21400356,20141215LALIND,IND,LAL,L,0
Lakers,Pacers,4-Jan-15,Sun,W,W,U,0,21400508,20150104INDLAL,LAL,IND,W,1
Celtics,Pelicans,12-Jan-15,Mon,W,W,O,0,21400563,20150112NOPBOS,BOS,NOP,L,0
Pelicans,Celtics,6-Mar-15,Fri,L,L,O,0,21400919,20150306BOSNOP,NOP,BOS,W,0
Celtics,Raptors,5-Nov-14,Wed,L,L,O,0,21400059,20141105TORBOS,BOS,TOR,L,1
Celtics,Raptors,14-Apr-15,Tue,W,W,U,0,21401214,20150414TORBOS,BOS,TOR,L,0
Raptors,Celtics,10-Jan-15,Sat,W,W,U,0,21400553,20150110BOSTOR,TOR,BOS,W,1
Raptors,Celtics,4-Apr-15,Sat,L,L,O,1,21401140,20150404BOSTOR,TOR,BOS,W,0
Celtics,Rockets,30-Jan-15,Fri,L,W,U,0,21400698,20150130HOUBOS,BOS,HOU,L,0
Rockets,Celtics,1-Nov-14,Sat,W,W,U,0,21400034,20141101BOSHOU,HOU,BOS,W,1
Celtics,Lakers,5-Dec-14,Fri,W,W,U,0,21400279,20141205LALBOS,BOS,LAL,L,0
Lakers,Celtics,22-Feb-15,Sun,W,W,O,1,21400829,20150222BOSLAL,LAL,BOS,W,1
Jazz,Pelicans,22-Nov-14,Sat,L,L,P,0,21400192,20141122NOPUTA,UTA,NOP,L,1
Pelicans,Jazz,16-Dec-14,Tue,W,L,O,0,21400366,20141216UTANOP,NOP,UTA,W,0
Pelicans,Jazz,9-Feb-15,Mon,L,L,O,0,21400780,20150209UTANOP,NOP,UTA,W,0
Jazz,Raptors,3-Dec-14,Wed,L,L,O,0,21400271,20141203TORUTA,UTA,TOR,L,1
Raptors,Jazz,15-Nov-14,Sat,W,W,O,0,21400134,20141115UTATOR,TOR,UTA,W,1
Jazz,Rockets,29-Oct-14,Wed,L,L,U,0,21400012,20141029HOUUTA,UTA,HOU,L,1
Jazz,Rockets,12-Mar-15,Thu,W,W,O,0,21400965,20150312HOUUTA,UTA,HOU,L,0
Rockets,Jazz,10-Jan-15,Sat,W,W,U,0,21400555,20150110UTAHOU,HOU,UTA,W,1
Rockets,Jazz,15-Apr-15,Wed,W,W,O,0,21401219,20150415UTAHOU,HOU,UTA,W,1
Jazz,Lakers,16-Jan-15,Fri,W,W,U,0,21400597,20150116LALUTA,UTA,LAL,L,0
Jazz,Lakers,25-Feb-15,Wed,L,L,O,0,21400851,20150225LALUTA,UTA,LAL,L,1
Lakers,Jazz,19-Mar-15,Thu,L,L,U,0,21401019,20150319UTALAL,LAL,UTA,W,0
Bucks,Pelicans,9-Mar-15,Mon,L,L,O,0,21400942,20150309NOPMIL,MIL,NOP,L,1
Pelicans,Bucks,17-Mar-15,Tue,W,L,U,0,21401003,20150317MILNOP,NOP,MIL,W,0
Bucks,Raptors,19-Jan-15,Mon,L,L,U,0,21400619,20150119TORMIL,MIL,TOR,L,1
Raptors,Bucks,21-Nov-14,Fri,W,W,O,0,21400175,20141121MILTOR,TOR,MIL,W,1
Raptors,Bucks,2-Feb-15,Mon,L,L,U,0,21400721,20150202MILTOR,TOR,MIL,W,0
Bucks,Rockets,29-Nov-14,Sat,L,L,O,0,21400240,20141129HOUMIL,MIL,HOU,L,1
Rockets,Bucks,6-Feb-15,Fri,W,P,O,0,21400753,20150206MILHOU,HOU,MIL,W,0
Bucks,Lakers,4-Feb-15,Wed,W,L,O,1,21400736,20150204LALMIL,MIL,LAL,L,1
Lakers,Bucks,27-Feb-15,Fri,W,W,P,0,21400868,20150227MILLAL,LAL,MIL,W,1
,,,,,,,,,,,,,29
