game_id,Date,Day,SUr,ATSr,OUr,ot,match id,Home,Away,Result,Bet
21400833,23-Feb-15,Mon,W,W,O,0,20150223TORNOP,NOP,TOR,W,1
21400608,18-Jan-15,Sun,L,L,U,0,20150118NOPTOR,TOR,NOP,L,1
21400114,12-Nov-14,Wed,W,L,O,0,20141112LALNOP,NOP,LAL,W,0
21400632,21-Jan-15,Wed,W,W,U,0,20150121LALNOP,NOP,LAL,W,1
21400300,7-Dec-14,Sun,L,L,U,0,20141207NOPLAL,LAL,NOP,L,1
21401123,1-Apr-15,Wed,L,L,O,0,20150401NOPLAL,LAL,NOP,L,1
21400488,2-Jan-15,Fri,W,W,U,0,20150102HOUNOP,NOP,HOU,W,1
21401068,25-Mar-15,Wed,L,L,U,0,20150325HOUNOP,NOP,HOU,W,0
21400380,18-Dec-14,Thu,L,L,U,0,20141218NOPHOU,HOU,NOP,L,1
21401199,12-Apr-15,Sun,W,W,O,0,20150412NOPHOU,HOU,NOP,L,0
21400803,20-Feb-15,Fri,W,W,U,0,20150220NOPORL,ORL,NOP,W,1
21400001,28-Oct-14,Tue,W,W,U,0,20141028ORLNOP,NOP,ORL,L,0
21400029,1-Nov-14,Sat,L,L,O,0,20141101TORORL,ORL,TOR,W,0
21401175,10-Apr-15,Fri,L,W,U,0,20150410TORORL,ORL,TOR,W,1
21400103,11-Nov-14,Tue,W,L,O,0,20141111ORLTOR,TOR,ORL,L,1
21400359,15-Dec-14,Mon,W,W,U,0,20141215ORLTOR,TOR,ORL,L,0
21400748,6-Feb-15,Fri,W,W,U,1,20150206LALORL,ORL,LAL,W,1
21400548,9-Jan-15,Fri,W,W,U,0,20150109ORLLAL,LAL,ORL,L,0
21400575,14-Jan-15,Wed,W,W,O,0,20150114HOUORL,ORL,HOU,W,1
21401002,17-Mar-15,Tue,W,W,U,0,20150317ORLHOU,HOU,ORL,L,0
21400647,23-Jan-15,Fri,L,L,U,0,20150123NOPMIN,MIN,NOP,W,0
21401208,13-Apr-15,Mon,L,P,U,0,20150413NOPMIN,MIN,NOP,W,0
21400128,14-Nov-14,Fri,W,W,O,0,20141114MINNOP,NOP,MIN,L,0
21401094,29-Mar-15,Sun,W,W,P,0,20150329MINNOP,NOP,MIN,L,0
21401119,1-Apr-15,Wed,L,L,O,0,20150401TORMIN,MIN,TOR,W,0
21401008,18-Mar-15,Wed,W,L,U,0,20150318MINTOR,TOR,MIN,L,1
21400351,14-Dec-14,Sun,L,L,U,0,20141214LALMIN,MIN,LAL,W,0
21401067,25-Mar-15,Wed,L,L,U,1,20150325LALMIN,MIN,LAL,W,0
21400234,28-Nov-14,Fri,L,L,O,0,20141128MINLAL,LAL,MIN,L,1
21401186,10-Apr-15,Fri,W,W,O,0,20150410MINLAL,LAL,MIN,L,0
21400117,12-Nov-14,Wed,L,L,O,0,20141112HOUMIN,MIN,HOU,W,0
21400283,5-Dec-14,Fri,L,W,O,1,20141205HOUMIN,MIN,HOU,W,1
21400832,23-Feb-15,Mon,W,W,O,0,20150223MINHOU,HOU,MIN,L,0
21401081,27-Mar-15,Fri,W,L,O,0,20150327MINHOU,HOU,MIN,L,1
21400236,29-Nov-14,Sat,W,L,U,0,20141129NOPWAS,WAS,NOP,W,0
21400515,5-Jan-15,Mon,L,L,U,0,20150105WASNOP,NOP,WAS,L,1
21400707,31-Jan-15,Sat,L,L,O,1,20150131TORWAS,WAS,TOR,W,0
21400077,7-Nov-14,Fri,W,W,U,0,20141107WASTOR,TOR,WAS,L,0
21400791,11-Feb-15,Wed,W,L,U,0,20150211WASTOR,TOR,WAS,L,1
21400264,3-Dec-14,Wed,W,W,U,0,20141203LALWAS,WAS,LAL,W,1
21400680,27-Jan-15,Tue,L,W,U,0,20150127WASLAL,LAL,WAS,L,0
21401097,29-Mar-15,Sun,L,L,U,0,20150329HOUWAS,WAS,HOU,W,0
21400463,29-Dec-14,Mon,L,L,O,0,20141229WASHOU,HOU,WAS,L,1
,,,,,,,,,,,20
