Date,Day,Season,Team,Opp,Site,Final,Rest,Line,Total,SUm,ATSm,OUm,DPS,DPA,SUr,ATSr,OUr,ot,game_id,match id,Home,Away
28-Oct-14,Tue,2014,Pelicans,Magic,home,101-84,&,-10,192,17,7,-7,0,-7,W,W,U,0,21400001,20141028ORLNOP,NOP,ORL
28-Oct-14,Tue,2014,Spurs,Mavericks,home,101-100,&,-3.5,203,1,-2.5,-2,-2.2,0.2,W,L,U,0,21400002,20141028DALSAS,SAS,DAL
28-Oct-14,Tue,2014,Lakers,Rockets,home,90-108,&,7,207,-18,-11,-9,-10,1,L,L,U,0,21400003,20141028HOULAL,LAL,HOU
29-Oct-14,Wed,2014,Knicks,Bulls,home,80-104,&,4.5,185,-24,-19.5,-1,-10.2,9.2,L,L,U,0,21400010,20141029CHINYK,NYK,CHI
29-Oct-14,Wed,2014,Heat,Wizards,home,107-95,&,-4.5,190,12,7.5,12,9.8,2.2,W,W,O,0,21400007,20141029WASMIA,MIA,WAS
29-Oct-14,Wed,2014,Pacers,Seventysixers,home,103-91,&,-7,190,12,5,4,4.5,-0.5,W,W,O,0,21400005,20141029PHIIND,IND,PHI
29-Oct-14,Wed,2014,Celtics,Nets,home,121-105,&,0,193,16,16,33,24.5,8.5,W,W,O,0,21400006,20141029BKNBOS,BOS,BKN
29-Oct-14,Wed,2014,Hornets,Bucks,home,108-106,&,-8,193,2,-6,21,7.5,13.5,W,L,O,1,21400004,20141029MILCHA,CHA,MIL
29-Oct-14,Wed,2014,Grizzlies,Timberwolves,home,105-101,&,-7.5,197,4,-3.5,9,2.8,6.2,W,L,O,0,21400009,20141029MINMEM,MEM,MIN
29-Oct-14,Wed,2014,Trailblazers,Thunder,home,106-89,&,-9,198.5,17,8,-3.5,2.2,-5.8,W,W,U,0,21400015,20141029OKCPOR,POR,OKC
29-Oct-14,Wed,2014,Raptors,Hawks,home,109-102,&,-4.5,200.5,7,2.5,10.5,6.5,4,W,W,O,0,21400008,20141029ATLTOR,TOR,ATL
29-Oct-14,Wed,2014,Jazz,Rockets,home,93-104,&0,3.5,201,-11,-7.5,-4,-5.8,1.8,L,L,U,0,21400012,20141029HOUUTA,UTA,HOU
29-Oct-14,Wed,2014,Kings,Warriors,home,77-95,&,4.5,206,-18,-13.5,-34,-23.8,-10.2,L,L,U,0,21400014,20141029GSWSAC,SAC,GSW
29-Oct-14,Wed,2014,Nuggets,Pistons,home,89-79,&,-7,206,10,3,-38,-17.5,-20.5,W,W,U,0,21400011,20141029DETDEN,DEN,DET
29-Oct-14,Wed,2014,Suns,Lakers,home,119-99,&0,-12.5,208.5,20,7.5,9.5,8.5,1,W,W,O,0,21400013,20141029LALPHX,PHX,LAL
30-Oct-14,Thu,2014,Magic,Wizards,home,98-105,1&0,4.5,189.5,-7,-2.5,13.5,5.5,8,L,L,O,0,21400016,20141030WASORL,ORL,WAS
30-Oct-14,Thu,2014,Cavaliers,Knicks,home,90-95,&0,-12.5,202.5,-5,-17.5,-17.5,-17.5,0,L,L,U,0,21400018,20141030NYKCLE,CLE,NYK
30-Oct-14,Thu,2014,Mavericks,Jazz,home,120-102,1&0,-10.5,202.5,18,7.5,19.5,13.5,6,W,W,O,0,21400019,20141030UTADAL,DAL,UTA
30-Oct-14,Thu,2014,Clippers,Thunder,home,93-90,&0,-12.5,203,3,-9.5,-20,-14.8,-5.2,W,L,U,0,21400020,20141030OKCLAC,LAC,OKC
30-Oct-14,Thu,2014,Timberwolves,Pistons,home,97-91,0&0,-5.5,205,6,0.5,-17,-8.2,-8.8,W,W,U,0,21400017,20141030DETMIN,MIN,DET
