Team,GP,Poss,Freq,PPP,PTS,FGM,FGA,FG,eFG,FTfreq,TOfreq,SFfreq,And1freq,ScoreFreq,Percentile,play_type
Bucks,82,1062,0.119,1.02,1084,398,777,51.2,56.2,0.145,0.144,0.135,0.024,0.484,96.6,Transition
Hornets,82,1047,0.122,1.09,1141,422,824,51.2,57.4,0.134,0.11,0.112,0.032,0.499,62.1,Transition
Celtics,82,1101,0.123,1.06,1164,443,838,52.9,57.5,0.134,0.13,0.115,0.026,0.503,82.8,Transition
Wizards,82,1156,0.132,1.04,1201,425,857,49.6,55.8,0.156,0.132,0.135,0.031,0.484,93.1,Transition
Hawks,82,1210,0.138,1.01,1227,459,909,50.5,55.6,0.126,0.149,0.113,0.026,0.475,100,Transition
Pistons,82,1154,0.133,1.06,1228,439,863,50.9,57.1,0.148,0.131,0.131,0.027,0.497,79.3,Transition
Clippers,82,1104,0.126,1.13,1253,448,828,54.1,60.3,0.164,0.112,0.142,0.026,0.538,24.1,Transition
Jazz,82,1121,0.134,1.14,1273,471,864,54.5,59.4,0.16,0.103,0.138,0.033,0.542,20.7,Transition
Knicks,82,1131,0.132,1.13,1278,461,839,54.9,60.3,0.163,0.124,0.141,0.03,0.532,31,Transition
Spurs,82,1188,0.136,1.08,1285,489,926,52.8,57.9,0.128,0.115,0.114,0.024,0.509,65.5,Transition
Grizzlies,82,1171,0.136,1.1,1293,506,899,56.3,61.3,0.118,0.132,0.099,0.02,0.522,48.3,Transition
Pelicans,82,1223,0.143,1.06,1302,499,951,52.5,56.8,0.139,0.105,0.122,0.022,0.513,75.9,Transition
Heat,82,1207,0.142,1.09,1319,489,883,55.4,62,0.14,0.158,0.125,0.031,0.501,58.6,Transition
Thunder,82,1215,0.136,1.1,1339,498,953,52.3,57.5,0.142,0.097,0.125,0.027,0.521,55.2,Transition
Bulls,82,1209,0.137,1.11,1340,491,902,54.4,60,0.148,0.13,0.128,0.025,0.518,44.8,Transition
