Team,GP,Poss,Freq,PPP,PTS,FGM,FGA,FG,eFG,FTfreq,TOfreq,SFfreq,And1freq,ScoreFreq,Percentile,play_type
Warriors,82,1649,0.183,1.16,1912,721,1289,55.9,62.5,0.129,0.109,0.12,0.021,0.54,86.2,Transition
Rockets,82,1725,0.19,1.1,1901,691,1311,52.7,59.8,0.139,0.121,0.123,0.022,0.506,44.8,Transition
Suns,82,1636,0.182,1.1,1796,686,1262,54.4,59.4,0.135,0.127,0.12,0.035,0.517,37.9,Transition
Thunder,82,1498,0.164,1.12,1682,632,1174,53.8,58.7,0.134,0.103,0.115,0.022,0.527,72.4,Transition
Wizards,82,1399,0.16,1.17,1639,618,1066,58,62.9,0.153,0.117,0.141,0.033,0.555,93.1,Transition
Nuggets,82,1487,0.163,1.08,1606,598,1160,51.6,56.5,0.15,0.103,0.132,0.034,0.512,27.6,Transition
Bucks,82,1393,0.158,1.15,1604,595,1017,58.5,63.4,0.155,0.137,0.136,0.023,0.548,79.3,Transition
Seventysixers,82,1541,0.171,1.03,1584,570,1141,50,57.1,0.149,0.143,0.132,0.034,0.474,6.9,Transition
Mavericks,82,1329,0.15,1.12,1493,549,1012,54.2,59.6,0.157,0.108,0.142,0.028,0.535,75.9,Transition
Kings,82,1317,0.147,1.11,1467,545,928,58.7,62.7,0.172,0.145,0.15,0.028,0.547,62.1,Transition
Cavaliers,82,1207,0.139,1.18,1426,542,925,58.6,64.5,0.143,0.126,0.124,0.037,0.549,96.6,Transition
Celtics,82,1387,0.154,1.02,1420,538,1071,50.2,55.5,0.122,0.124,0.109,0.02,0.479,0,Transition
Clippers,82,1179,0.136,1.19,1404,499,880,56.7,64.6,0.158,0.12,0.126,0.025,0.547,100,Transition
Hawks,82,1245,0.146,1.11,1383,527,938,56.2,63,0.117,0.149,0.101,0.021,0.515,58.6,Transition
Timberwolves,82,1205,0.135,1.1,1328,490,859,57,60.1,0.168,0.146,0.149,0.03,0.542,48.3,Transition
Pistons,82,1197,0.135,1.1,1320,480,920,52.2,58.6,0.152,0.113,0.135,0.038,0.503,55.2,Transition
Raptors,82,1116,0.128,1.12,1247,449,860,52.2,59.1,0.142,0.115,0.123,0.028,0.511,65.5,Transition
Lakers,82,1062,0.119,1.15,1224,456,801,56.9,61.7,0.156,0.119,0.133,0.03,0.551,82.8,Transition
Magic,82,1062,0.123,1.08,1148,436,790,55.2,59.4,0.153,0.135,0.137,0.032,0.521,31,Transition
Jazz,82,984,0.116,1.16,1146,426,723,58.9,63.5,0.171,0.128,0.153,0.036,0.56,89.7,Transition
Spurs,82,1076,0.123,1.06,1140,411,802,51.2,56.9,0.15,0.132,0.127,0.029,0.496,17.2,Transition
Trailblazers,82,1032,0.117,1.1,1134,416,789,52.7,59.4,0.137,0.129,0.115,0.03,0.501,41.4,Transition
Grizzlies,82,1007,0.117,1.12,1130,441,781,56.5,60.4,0.14,0.114,0.119,0.031,0.542,69,Transition
Bulls,82,1048,0.119,1.08,1128,392,773,50.7,57.1,0.158,0.126,0.133,0.023,0.5,24.1,Transition
Pelicans,82,1028,0.119,1.09,1118,421,783,53.8,58.9,0.14,0.125,0.129,0.029,0.513,34.5,Transition
Heat,82,994,0.119,1.1,1096,411,749,54.9,59.5,0.139,0.126,0.123,0.022,0.524,51.7,Transition
Nets,82,1051,0.121,1.04,1091,418,795,52.6,57.1,0.133,0.129,0.119,0.021,0.5,10.3,Transition
Pacers,82,1000,0.115,1.07,1066,389,755,51.5,56.3,0.149,0.126,0.133,0.03,0.504,20.7,Transition
Knicks,82,886,0.104,1.02,908,342,710,48.2,53.7,0.124,0.098,0.117,0.026,0.48,3.4,Transition
Hornets,82,836,0.096,1.04,870,306,644,47.5,52.1,0.182,0.089,0.169,0.043,0.496,13.8,Transition
Cavaliers,82,993,0.114,0.92,913,323,796,40.6,45.3,0.132,0.086,0.117,0.019,0.43,96.6,Iso
Raptors,82,895,0.103,0.88,792,273,720,37.9,40.3,0.154,0.072,0.143,0.03,0.421,86.2,Iso
Rockets,82,868,0.096,0.89,772,256,684,37.4,42.9,0.135,0.099,0.114,0.022,0.402,89.7,Iso
Pelicans,82,910,0.106,0.83,753,300,760,39.5,41.3,0.101,0.084,0.095,0.021,0.408,44.8,Iso
Lakers,82,921,0.103,0.81,743,270,752,35.9,39.6,0.111,0.094,0.097,0.023,0.375,24.1,Iso
Thunder,82,819,0.09,0.88,724,267,656,40.7,43.1,0.137,0.087,0.122,0.028,0.425,82.8,Iso
Suns,82,836,0.093,0.85,713,279,699,39.9,43.2,0.091,0.091,0.079,0.018,0.403,65.5,Iso
Nuggets,82,855,0.093,0.83,711,268,683,39.2,42.1,0.116,0.099,0.099,0.014,0.405,48.3,Iso
Kings,82,807,0.09,0.88,709,267,628,42.5,44.4,0.138,0.104,0.115,0.022,0.435,75.9,Iso
Timberwolves,82,806,0.091,0.84,679,235,626,37.5,39.5,0.154,0.087,0.145,0.02,0.419,51.7,Iso
Knicks,82,780,0.091,0.86,673,247,633,39,42.4,0.114,0.091,0.099,0.018,0.41,72.4,Iso
Clippers,82,664,0.076,0.94,621,228,566,40.3,44.8,0.11,0.057,0.093,0.023,0.426,100,Iso
Nets,82,691,0.08,0.85,587,229,558,41,42.1,0.116,0.091,0.097,0.014,0.424,62.1,Iso
Bucks,82,767,0.087,0.76,581,225,609,36.9,38.6,0.104,0.126,0.089,0.025,0.369,10.3,Iso
Heat,82,647,0.078,0.86,555,205,514,39.9,41.4,0.139,0.09,0.125,0.023,0.425,69,Iso
Seventysixers,82,753,0.084,0.72,540,189,558,33.9,36.5,0.147,0.131,0.127,0.021,0.357,0,Iso
Trailblazers,82,602,0.068,0.88,529,194,495,39.2,43.5,0.111,0.091,0.103,0.025,0.405,79.3,Iso
Warriors,82,571,0.063,0.9,516,195,467,41.8,45.6,0.107,0.098,0.1,0.023,0.422,93.1,Iso
Bulls,82,601,0.068,0.81,489,168,465,36.1,38.9,0.138,0.11,0.125,0.022,0.389,31,Iso
Hawks,82,593,0.069,0.82,486,179,457,39.2,40.4,0.133,0.111,0.116,0.015,0.413,34.5,Iso
Mavericks,82,578,0.065,0.83,478,182,484,37.6,39.9,0.104,0.071,0.095,0.016,0.403,41.4,Iso
Celtics,82,572,0.063,0.83,473,186,476,39.1,41.3,0.101,0.084,0.089,0.017,0.404,37.9,Iso
Magic,82,562,0.065,0.81,456,187,472,39.6,41.4,0.087,0.093,0.077,0.02,0.397,27.6,Iso
Grizzlies,82,517,0.06,0.85,439,170,422,40.3,41.9,0.116,0.083,0.106,0.015,0.424,58.6,Iso
Hornets,82,531,0.061,0.79,422,153,442,34.6,37.3,0.117,0.073,0.094,0.023,0.377,17.2,Iso
Wizards,82,443,0.051,0.84,374,137,346,39.6,41.8,0.135,0.113,0.124,0.029,0.413,55.2,Iso
Pacers,82,458,0.053,0.75,343,112,359,31.2,34.8,0.118,0.111,0.103,0.013,0.349,6.9,Iso
Jazz,82,461,0.054,0.72,334,109,343,31.8,34,0.154,0.117,0.128,0.015,0.364,3.4,Iso
Spurs,82,410,0.047,0.8,328,123,330,37.3,38.6,0.122,0.105,0.105,0.032,0.39,20.7,Iso
Pistons,82,412,0.046,0.77,316,122,351,34.8,37.9,0.1,0.07,0.09,0.024,0.364,13.8,Iso
Mavericks,82,1894,0.213,0.8,1508,623,1476,42.2,44.7,0.074,0.156,0.059,0.011,0.388,51.7,PnRBall
Hornets,82,1849,0.213,0.8,1473,568,1455,39,41.4,0.094,0.137,0.078,0.018,0.382,55.2,PnRBall
Thunder,82,1647,0.18,0.82,1352,507,1258,40.3,43.9,0.099,0.154,0.084,0.017,0.387,79.3,PnRBall
Magic,82,1788,0.207,0.73,1314,529,1298,40.8,42.3,0.094,0.194,0.081,0.015,0.367,17.2,PnRBall
Raptors,82,1522,0.175,0.84,1273,456,1171,38.9,43.2,0.104,0.138,0.096,0.013,0.387,93.1,PnRBall
Clippers,82,1388,0.16,0.9,1246,492,1097,44.8,48.2,0.081,0.139,0.056,0.01,0.422,100,PnRBall
Cavaliers,82,1526,0.176,0.82,1245,487,1157,42.1,46,0.087,0.174,0.079,0.02,0.38,72.4,PnRBall
Pistons,82,1539,0.173,0.79,1214,462,1197,38.6,42.1,0.088,0.154,0.072,0.02,0.365,41.4,PnRBall
Lakers,82,1488,0.167,0.77,1147,416,1108,37.5,41.2,0.104,0.165,0.089,0.015,0.367,34.5,PnRBall
Pelicans,82,1423,0.165,0.78,1106,449,1061,42.3,44.6,0.081,0.188,0.072,0.015,0.376,37.9,PnRBall
Bulls,82,1333,0.151,0.82,1099,426,1024,41.6,44.8,0.086,0.157,0.078,0.014,0.391,82.8,PnRBall
Trailblazers,82,1313,0.149,0.82,1071,396,1015,39,44.3,0.081,0.159,0.072,0.014,0.368,69,PnRBall
Suns,82,1337,0.149,0.8,1071,400,961,41.6,44.6,0.109,0.192,0.085,0.02,0.384,58.6,PnRBall
Spurs,82,1299,0.149,0.82,1062,440,982,44.8,46.4,0.085,0.176,0.065,0.016,0.405,75.9,PnRBall
Hawks,82,1274,0.149,0.81,1038,390,923,42.3,45,0.108,0.181,0.093,0.016,0.396,65.5,PnRBall
Pacers,82,1230,0.141,0.83,1016,391,933,41.9,44.5,0.111,0.155,0.087,0.024,0.398,86.2,PnRBall
Nets,82,1350,0.155,0.75,1007,399,1004,39.7,41.2,0.08,0.187,0.06,0.01,0.364,24.1,PnRBall
Nuggets,82,1199,0.131,0.81,966,376,921,40.8,44,0.09,0.154,0.075,0.013,0.384,62.1,PnRBall
Grizzlies,82,1221,0.141,0.79,964,364,925,39.4,41.7,0.1,0.155,0.086,0.013,0.381,44.8,PnRBall
Jazz,82,1403,0.165,0.68,961,375,1048,35.8,37.4,0.085,0.184,0.069,0.016,0.334,3.4,PnRBall
Kings,82,1190,0.133,0.79,942,364,894,40.7,42.8,0.098,0.161,0.076,0.012,0.388,48.3,PnRBall
Celtics,82,1274,0.141,0.74,937,382,959,39.8,42.6,0.066,0.192,0.06,0.012,0.351,20.7,PnRBall
Wizards,82,1280,0.147,0.71,903,363,959,37.9,39.3,0.08,0.182,0.066,0.011,0.346,10.3,PnRBall
Heat,82,1217,0.146,0.73,890,343,837,41,42.5,0.109,0.218,0.087,0.016,0.365,13.8,PnRBall
Warriors,82,1052,0.117,0.85,889,345,816,42.3,48.4,0.061,0.172,0.056,0.01,0.375,96.6,PnRBall
Rockets,82,1000,0.11,0.84,836,269,641,42,46.1,0.152,0.226,0.135,0.022,0.396,89.7,PnRBall
Bucks,82,1095,0.125,0.76,832,323,783,41.3,43.6,0.086,0.216,0.066,0.017,0.363,31,PnRBall
Timberwolves,82,1011,0.114,0.76,767,292,747,39.1,41.8,0.084,0.19,0.065,0.013,0.359,27.6,PnRBall
Seventysixers,82,1151,0.128,0.66,754,291,802,36.3,39.1,0.088,0.227,0.07,0.011,0.318,0,PnRBall
Knicks,82,927,0.109,0.7,652,262,689,38,40.7,0.073,0.197,0.054,0.015,0.335,6.9,PnRBall
Celtics,82,751,0.083,1.03,770,321,644,49.8,52.1,0.093,0.068,0.088,0.02,0.498,79.3,PnRRoll
Pelicans,82,719,0.083,1.05,752,298,578,51.6,52.8,0.15,0.076,0.142,0.031,0.529,86.2,PnRRoll
Magic,82,740,0.086,0.99,732,309,649,47.6,50.5,0.072,0.065,0.066,0.014,0.473,55.2,PnRRoll
Hawks,82,733,0.086,0.99,726,290,633,45.8,49.1,0.098,0.059,0.094,0.022,0.467,58.6,PnRRoll
Trailblazers,82,723,0.082,0.99,713,302,608,49.7,52.1,0.087,0.098,0.086,0.026,0.474,51.7,PnRRoll
Nets,82,702,0.081,1.01,706,295,586,50.3,52,0.128,0.075,0.123,0.038,0.499,72.4,PnRRoll
Nuggets,82,688,0.075,0.99,683,277,565,49,52.7,0.11,0.089,0.105,0.022,0.48,62.1,PnRRoll
Mavericks,82,580,0.065,1.17,677,266,488,54.5,58.8,0.136,0.057,0.131,0.036,0.553,100,PnRRoll
Thunder,82,710,0.078,0.93,661,284,602,47.2,47.7,0.11,0.072,0.101,0.031,0.466,24.1,PnRRoll
Heat,82,561,0.067,1.12,626,246,462,53.2,57.8,0.123,0.066,0.114,0.014,0.542,93.1,PnRRoll
Clippers,82,625,0.072,0.99,621,266,534,49.8,51.6,0.11,0.066,0.106,0.03,0.496,65.5,PnRRoll
Jazz,82,671,0.079,0.92,618,249,523,47.6,48.6,0.134,0.109,0.124,0.022,0.469,17.2,PnRRoll
Hornets,82,637,0.073,0.95,604,245,518,47.3,48.9,0.122,0.08,0.111,0.016,0.476,37.9,PnRRoll
Warriors,82,583,0.065,0.98,573,235,479,49.1,51.9,0.099,0.103,0.096,0.026,0.473,48.3,PnRRoll
Pacers,82,717,0.082,0.8,573,250,636,39.3,40.6,0.063,0.06,0.059,0.011,0.392,3.4,PnRRoll
Cavaliers,82,527,0.061,1.08,568,227,429,52.9,56.4,0.139,0.072,0.127,0.025,0.529,89.7,PnRRoll
Wizards,82,583,0.067,0.96,560,234,487,48,49.9,0.106,0.075,0.103,0.019,0.477,41.4,PnRRoll
Lakers,82,594,0.067,0.94,558,242,510,47.5,48.2,0.113,0.054,0.108,0.027,0.473,27.6,PnRRoll
Knicks,82,584,0.068,0.94,551,229,503,45.5,47,0.099,0.055,0.094,0.019,0.466,31,PnRRoll
Grizzlies,82,597,0.069,0.92,548,229,494,46.4,46.9,0.111,0.08,0.109,0.018,0.466,13.8,PnRRoll
Timberwolves,82,588,0.066,0.92,543,224,485,46.2,47.2,0.111,0.082,0.099,0.017,0.464,20.7,PnRRoll
Spurs,82,520,0.06,1.04,541,211,428,49.3,51.9,0.129,0.075,0.123,0.027,0.504,82.8,PnRRoll
Raptors,82,475,0.055,1.13,537,210,380,55.3,59.2,0.143,0.076,0.133,0.019,0.549,96.6,PnRRoll
Pistons,82,516,0.058,1.01,519,206,414,49.8,52.9,0.147,0.074,0.13,0.023,0.498,75.9,PnRRoll
Kings,82,517,0.058,0.94,488,188,411,45.7,46.6,0.159,0.074,0.149,0.027,0.484,34.5,PnRRoll
Suns,82,486,0.054,1,485,204,427,47.8,50.6,0.093,0.049,0.093,0.021,0.484,69,PnRRoll
Bulls,82,506,0.057,0.89,451,183,422,43.4,45,0.097,0.077,0.087,0.008,0.447,10.3,PnRRoll
Rockets,82,427,0.047,0.97,414,170,315,54,56,0.141,0.148,0.126,0.03,0.485,44.8,PnRRoll
Seventysixers,82,471,0.052,0.8,375,157,388,40.5,43.6,0.081,0.106,0.074,0.011,0.391,0,PnRRoll
Bucks,82,436,0.05,0.86,374,153,347,44.1,46,0.106,0.122,0.101,0.023,0.422,6.9,PnRRoll
Grizzlies,82,1245,0.144,0.92,1150,444,945,47,47,0.156,0.116,0.128,0.031,0.468,89.7,Postup
Trailblazers,82,1056,0.12,0.93,984,390,844,46.2,46.2,0.134,0.098,0.117,0.031,0.47,93.1,Postup
Timberwolves,82,1124,0.126,0.85,952,361,875,41.3,41.3,0.155,0.101,0.125,0.034,0.437,51.7,Postup
Kings,82,991,0.111,0.88,874,314,717,43.8,43.8,0.178,0.128,0.148,0.03,0.457,65.5,Postup
Pacers,82,1033,0.119,0.83,862,326,770,42.3,42.3,0.15,0.121,0.118,0.017,0.435,41.4,Postup
Knicks,82,926,0.108,0.83,769,300,704,42.6,42.6,0.13,0.133,0.107,0.024,0.428,37.9,Postup
Spurs,82,841,0.096,0.9,758,311,652,47.7,47.7,0.128,0.118,0.107,0.023,0.467,82.8,Postup
Wizards,82,918,0.105,0.81,741,309,728,42.4,42.4,0.106,0.115,0.094,0.014,0.419,24.1,Postup
Pistons,82,935,0.105,0.78,728,289,716,40.4,40.4,0.141,0.119,0.122,0.025,0.402,6.9,Postup
Bulls,82,804,0.091,0.9,726,268,603,44.4,44.4,0.167,0.112,0.119,0.03,0.464,86.2,Postup
Hornets,82,817,0.094,0.88,721,315,712,44.2,44.2,0.083,0.061,0.075,0.016,0.448,69,Postup
Lakers,82,850,0.096,0.84,710,288,671,42.9,42.9,0.12,0.109,0.105,0.019,0.431,44.8,Postup
Nets,82,821,0.095,0.86,705,281,638,44,44,0.13,0.111,0.11,0.019,0.441,58.6,Postup
Rockets,82,845,0.093,0.83,701,291,631,46.1,46.1,0.135,0.141,0.112,0.024,0.431,34.5,Postup
Cavaliers,82,731,0.084,0.88,646,243,550,44.2,44.2,0.15,0.118,0.127,0.021,0.456,72.4,Postup
Heat,82,718,0.086,0.89,636,259,560,46.3,46.3,0.131,0.118,0.114,0.033,0.447,79.3,Postup
Raptors,82,667,0.077,0.94,626,240,505,47.5,47.5,0.145,0.121,0.127,0.025,0.478,96.6,Postup
Magic,82,682,0.079,0.85,578,246,549,44.8,44.8,0.088,0.119,0.078,0.013,0.434,55.2,Postup
Clippers,82,658,0.076,0.87,571,222,501,44.3,44.3,0.169,0.102,0.129,0.032,0.45,62.1,Postup
Nuggets,82,709,0.078,0.77,545,204,533,38.3,38.3,0.141,0.126,0.12,0.018,0.403,3.4,Postup
Suns,82,665,0.074,0.82,542,233,518,45,45,0.096,0.141,0.083,0.018,0.42,31,Postup
Mavericks,82,487,0.055,0.97,474,187,382,49,49,0.136,0.101,0.084,0.021,0.497,100,Postup
Celtics,82,538,0.06,0.84,451,180,432,41.7,41.7,0.123,0.093,0.099,0.019,0.428,48.3,Postup
Thunder,82,551,0.06,0.8,439,178,416,42.8,42.8,0.125,0.143,0.116,0.025,0.412,17.2,Postup
Bucks,82,541,0.062,0.79,426,169,385,43.9,43.9,0.126,0.179,0.1,0.017,0.41,10.3,Postup
Warriors,82,530,0.059,0.79,419,167,394,42.4,42.4,0.121,0.158,0.108,0.023,0.402,13.8,Postup
Pelicans,82,464,0.054,0.89,411,160,373,42.9,42.9,0.142,0.084,0.123,0.03,0.444,75.9,Postup
Jazz,82,497,0.058,0.81,402,163,377,43.2,43.2,0.129,0.141,0.101,0.028,0.423,27.6,Postup
Hawks,82,425,0.05,0.8,341,139,322,43.2,43.2,0.111,0.155,0.092,0.026,0.407,20.7,Postup
Seventysixers,82,468,0.052,0.69,325,129,344,37.5,37.5,0.126,0.171,0.107,0.032,0.363,0,Postup
Spurs,82,2000,0.229,1.04,2089,747,1808,41.3,53.3,0.052,0.05,0.046,0.007,0.417,89.7,Spotup
Hawks,82,1918,0.224,1.04,2000,728,1746,41.7,54.2,0.038,0.057,0.033,0.007,0.408,86.2,Spotup
Mavericks,82,1901,0.214,1.02,1947,683,1746,39.1,51.8,0.05,0.043,0.046,0.011,0.397,69,Spotup
Trailblazers,82,1831,0.208,1.03,1892,692,1691,40.9,53,0.035,0.049,0.033,0.008,0.405,79.3,Spotup
Rockets,82,1909,0.21,0.97,1851,629,1751,35.9,50.3,0.03,0.056,0.026,0.003,0.355,44.8,Spotup
Jazz,82,1883,0.221,0.96,1813,632,1689,37.4,49.8,0.047,0.062,0.046,0.006,0.374,37.9,Spotup
Seventysixers,82,2119,0.235,0.84,1788,649,1863,34.8,44.1,0.054,0.075,0.05,0.009,0.344,0,Spotup
Nets,82,1803,0.208,0.97,1756,638,1628,39.2,50.2,0.044,0.059,0.037,0.007,0.391,48.3,Spotup
Pistons,82,1790,0.201,0.98,1755,616,1631,37.8,49.3,0.054,0.046,0.05,0.011,0.384,58.6,Spotup
Clippers,82,1640,0.189,1.05,1725,605,1508,40.1,53.9,0.037,0.048,0.033,0.004,0.399,93.1,Spotup
Bucks,82,1770,0.201,0.97,1724,648,1602,40.4,50.3,0.045,0.061,0.042,0.011,0.399,51.7,Spotup
Warriors,82,1568,0.174,1.09,1715,619,1447,42.8,56,0.042,0.044,0.038,0.009,0.423,100,Spotup
Heat,82,1785,0.214,0.96,1706,597,1577,37.9,49.2,0.058,0.062,0.054,0.006,0.385,31,Spotup
Cavaliers,82,1614,0.186,1.06,1703,581,1483,39.2,53.6,0.039,0.043,0.033,0.001,0.397,96.6,Spotup
Suns,82,1703,0.19,0.98,1665,598,1555,38.5,49.7,0.047,0.049,0.041,0.009,0.388,55.2,Spotup
Celtics,82,1811,0.201,0.92,1664,601,1650,36.4,46.6,0.049,0.046,0.044,0.006,0.372,20.7,Spotup
Bulls,82,1597,0.181,1.03,1641,579,1436,40.3,51.5,0.065,0.046,0.058,0.011,0.416,75.9,Spotup
Pelicans,82,1652,0.192,0.99,1637,603,1520,39.7,50.6,0.043,0.044,0.038,0.007,0.398,65.5,Spotup
Pacers,82,1561,0.179,1.03,1615,599,1446,41.4,52.6,0.037,0.043,0.029,0.006,0.413,82.8,Spotup
