game_id,Date,Day,SUr,ATSr,OUr,ot,match id,Home,Away,Result,Bet
21400163,19-Nov-14,Wed,L,L,O,0,20141119DALWAS,WAS,DAL,L,1
21400470,30-Dec-14,Tue,W,W,U,0,20141230WASDAL,DAL,WAS,W,1
21400719,2-Feb-15,Mon,L,L,U,0,20150202CHAWAS,WAS,CHA,L,1
21401076,27-Mar-15,Fri,W,L,O,2,20150327CHAWAS,WAS,CHA,L,1
21400742,5-Feb-15,Thu,W,W,U,0,20150205WASCHA,CHA,WAS,W,1
21400938,9-Mar-15,Mon,L,L,U,0,20150309WASCHA,CHA,WAS,W,0
21400132,15-Nov-14,Sat,W,L,U,0,20141115ORLWAS,WAS,ORL,L,1
21400776,9-Feb-15,Mon,W,W,U,0,20150209ORLWAS,WAS,ORL,L,0
21400016,30-Oct-14,Thu,L,L,O,0,20141030WASORL,ORL,WAS,W,0
21400318,10-Dec-14,Wed,L,W,U,0,20141210WASORL,ORL,WAS,W,1
21400257,2-Dec-14,Tue,L,L,O,2,20141202DALCHI,CHI,DAL,L,1
21400646,23-Jan-15,Fri,L,L,U,0,20150123CHIDAL,DAL,CHI,W,0
21400845,25-Feb-15,Wed,L,L,U,0,20150225CHACHI,CHI,CHA,L,1
21401051,23-Mar-15,Mon,W,W,U,0,20150323CHACHI,CHI,CHA,L,0
21400263,3-Dec-14,Wed,L,L,O,0,20141203CHICHA,CHA,CHI,W,0
21400967,13-Mar-15,Fri,W,W,O,0,20150313CHICHA,CHA,CHI,W,1
21400053,4-Nov-14,Tue,W,L,U,0,20141104ORLCHI,CHI,ORL,L,1
21400566,12-Jan-15,Mon,L,L,O,0,20150112ORLCHI,CHI,ORL,L,1
21400770,8-Feb-15,Sun,L,W,U,0,20150208CHIORL,ORL,CHI,W,1
21401161,8-Apr-15,Wed,W,W,O,0,20150408CHIORL,ORL,CHI,W,1
,,,,,,,,,,,14
