game_id,Date,Day,SUr,ATSr,OUr,ot,match id,Home,Away,Result,Bet
21400670,26-Jan-15,Mon,W,L,U,0,20150126ORLMEM,MEM,ORL,W,0
21400588,16-Jan-15,Fri,L,L,O,0,20150116MEMORL,ORL,MEM,L,1
21400767,8-Feb-15,Sun,W,W,U,0,20150208ATLMEM,MEM,ATL,W,1
21400526,7-Jan-15,Wed,W,W,U,0,20150107MEMATL,ATL,MEM,L,0
21400045,3-Nov-14,Mon,W,W,U,0,20141103NOPMEM,MEM,NOP,W,1
21401166,8-Apr-15,Wed,W,W,P,0,20150408NOPMEM,MEM,NOP,W,1
21400541,9-Jan-15,Fri,W,W,O,0,20150109MEMNOP,NOP,MEM,L,0
21400923,7-Mar-15,Sat,W,W,U,0,20150307MEMNOP,NOP,MEM,L,0
21400176,21-Nov-14,Fri,W,W,O,0,20141121BOSMEM,MEM,BOS,W,1
21400954,11-Mar-15,Wed,W,W,U,0,20150311MEMBOS,BOS,MEM,L,0
21400286,5-Dec-14,Fri,L,L,U,0,20141205ORLUTA,UTA,ORL,W,0
21400383,19-Dec-14,Fri,L,L,O,0,20141219UTAORL,ORL,UTA,L,1
21400492,2-Jan-15,Fri,L,L,U,0,20150102ATLUTA,UTA,ATL,W,0
21400110,12-Nov-14,Wed,W,L,U,0,20141112UTAATL,ATL,UTA,L,1
21400192,22-Nov-14,Sat,L,L,P,0,20141122NOPUTA,UTA,NOP,W,0
21400366,16-Dec-14,Tue,W,L,O,0,20141216UTANOP,NOP,UTA,L,1
21400780,9-Feb-15,Mon,L,L,O,0,20150209UTANOP,NOP,UTA,L,1
21400673,26-Jan-15,Mon,L,L,U,0,20150126BOSUTA,UTA,BOS,W,0
21400898,4-Mar-15,Wed,W,P,U,0,20150304UTABOS,BOS,UTA,L,0
21400530,7-Jan-15,Wed,W,L,U,0,20150107ORLDEN,DEN,ORL,W,0
21401044,22-Mar-15,Sun,L,L,O,0,20150322DENORL,ORL,DEN,L,1
21400958,11-Mar-15,Wed,W,W,O,0,20150311ATLDEN,DEN,ATL,W,1
21400295,7-Dec-14,Sun,W,W,U,0,20141207DENATL,ATL,DEN,L,0
21400181,21-Nov-14,Fri,W,W,O,0,20141121NOPDEN,DEN,NOP,W,1
21400884,1-Mar-15,Sun,L,L,U,0,20150301NOPDEN,DEN,NOP,W,0
21400687,28-Jan-15,Wed,L,L,U,0,20150128DENNOP,NOP,DEN,L,1
21400984,15-Mar-15,Sun,L,L,O,2,20150315DENNOP,NOP,DEN,L,1
21400649,23-Jan-15,Fri,L,L,U,0,20150123BOSDEN,DEN,BOS,W,0
21400733,4-Feb-15,Wed,W,W,O,0,20150204DENBOS,BOS,DEN,L,0
21400053,4-Nov-14,Tue,W,L,U,0,20141104ORLCHI,CHI,ORL,W,0
21400566,12-Jan-15,Mon,L,L,O,0,20150112ORLCHI,CHI,ORL,W,0
21400770,8-Feb-15,Sun,L,W,U,0,20150208CHIORL,ORL,CHI,L,0
21401161,8-Apr-15,Wed,W,W,O,0,20150408CHIORL,ORL,CHI,L,0
21400602,17-Jan-15,Sat,L,L,O,0,20150117ATLCHI,CHI,ATL,W,0
21401217,15-Apr-15,Wed,W,W,U,0,20150415ATLCHI,CHI,ATL,W,1
21400358,15-Dec-14,Mon,W,W,U,0,20141215CHIATL,ATL,CHI,L,0
21400447,27-Dec-14,Sat,W,L,O,0,20141227NOPCHI,CHI,NOP,W,0
21400758,7-Feb-15,Sat,L,L,U,0,20150207CHINOP,NOP,CHI,L,1
21400086,8-Nov-14,Sat,L,L,O,0,20141108BOSCHI,CHI,BOS,W,0
21400496,3-Jan-15,Sat,W,L,O,1,20150103BOSCHI,CHI,BOS,W,0
21400223,28-Nov-14,Fri,L,L,O,0,20141128CHIBOS,BOS,CHI,L,1
21400591,16-Jan-15,Fri,L,L,O,0,20150116CHIBOS,BOS,CHI,L,1
,,,,,,,,,,,18
