Team,home_off_Transition_Poss,home_off_Transition_Freq,home_off_Transition_eFG,home_off_Transition_FTfreq,home_off_Transition_TOfreq,home_off_Iso_Poss,home_off_Iso_Freq,home_off_Iso_eFG,home_off_Iso_FTfreq,home_off_Iso_TOfreq,home_off_PnRBall_Poss,home_off_PnRBall_Freq,home_off_PnRBall_eFG,home_off_PnRBall_FTfreq,home_off_PnRBall_TOfreq,home_off_PnRRoll_Poss,home_off_PnRRoll_Freq,home_off_PnRRoll_eFG,home_off_PnRRoll_FTfreq,home_off_PnRRoll_TOfreq,home_off_Postup_Poss,home_off_Postup_Freq,home_off_Postup_eFG,home_off_Postup_FTfreq,home_off_Postup_TOfreq,home_off_Spotup_Poss,home_off_Spotup_Freq,home_off_Spotup_eFG,home_off_Spotup_FTfreq,home_off_Spotup_TOfreq,home_off_Handoff_Poss,home_off_Handoff_Freq,home_off_Handoff_eFG,home_off_Handoff_FTfreq,home_off_Handoff_TOfreq,home_off_Cut_Poss,home_off_Cut_Freq,home_off_Cut_eFG,home_off_Cut_FTfreq,home_off_Cut_TOfreq,home_off_Screen_Poss,home_off_Screen_Freq,home_off_Screen_eFG,home_off_Screen_FTfreq,home_off_Screen_TOfreq,home_off_Putback_Poss,home_off_Putback_Freq,home_off_Putback_eFG,home_off_Putback_FTfreq,home_off_Putback_TOfreq,home_off_Misc_Poss,home_off_Misc_Freq,home_off_Misc_eFG,home_off_Misc_FTfreq,home_off_Misc_TOfreq,home_def_Transition_Poss,home_def_Transition_Freq,home_def_Transition_eFG,home_def_Transition_FTfreq,home_def_Transition_TOfreq,home_def_Iso_Poss,home_def_Iso_Freq,home_def_Iso_eFG,home_def_Iso_FTfreq,home_def_Iso_TOfreq,home_def_PnRBall_Poss,home_def_PnRBall_Freq,home_def_PnRBall_eFG,home_def_PnRBall_FTfreq,home_def_PnRBall_TOfreq,home_def_PnRRoll_Poss,home_def_PnRRoll_Freq,home_def_PnRRoll_eFG,home_def_PnRRoll_FTfreq,home_def_PnRRoll_TOfreq,home_def_Postup_Poss,home_def_Postup_Freq,home_def_Postup_eFG,home_def_Postup_FTfreq,home_def_Postup_TOfreq,home_def_Spotup_Poss,home_def_Spotup_Freq,home_def_Spotup_eFG,home_def_Spotup_FTfreq,home_def_Spotup_TOfreq,home_def_Handoff_Poss,home_def_Handoff_Freq,home_def_Handoff_eFG,home_def_Handoff_FTfreq,home_def_Handoff_TOfreq,home_def_Cut_Poss,home_def_Cut_Freq,home_def_Cut_eFG,home_def_Cut_FTfreq,home_def_Cut_TOfreq,home_def_Screen_Poss,home_def_Screen_Freq,home_def_Screen_eFG,home_def_Screen_FTfreq,home_def_Screen_TOfreq,home_def_Putback_Poss,home_def_Putback_Freq,home_def_Putback_eFG,home_def_Putback_FTfreq,home_def_Putback_TOfreq,home_def_Misc_Poss,home_def_Misc_Freq,home_def_Misc_eFG,home_def_Misc_FTfreq,home_def_Misc_TOfreq
Pelicans,-0.801702531,-0.783378411,-0.182034162,-0.452916323,0.157927912,1.370045349,1.533574335,0.16338976,-1.082709064,-0.587750238,0.342576535,0.446253998,0.522779523,-0.599966328,0.476244268,1.222571175,1.290401405,0.5262571,1.532221829,-0.12666672,-1.327905161,-1.275095969,-0.32954912,0.434307738,-1.510151567,-0.196911754,-0.013330133,0.25649645,-0.269661465,-0.962102152,-0.083576294,-0.013083204,-0.134383373,-0.802962002,-0.611416019,0.14216467,0.266698137,0.49610003,1.264811761,0.716242264,-0.534739123,-0.497460766,2.40784254,-0.69705593,0.49719902,0.705020538,0.910756284,-1.166779156,0.276614145,-0.222974065,-1.851962062,-1.731142475,-1.235320586,0.250658944,-0.342870672,0.037514244,0.415100047,-0.995366439,-0.550673633,-1.14537768,1.244687061,1.636923922,-0.93687869,-0.881907059,-0.37995317,0.681825924,0.910287013,0.744280754,0.39414825,-1.045798621,-0.122017542,0.115099159,1.059556678,-1.151340302,-0.280064893,0.402131125,0.708970267,0.312034006,-0.956141321,-0.048322773,-1.634207229,-1.473765974,0.601202287,1.28469955,-0.3515541,0.017120988,0.168635891,-1.032793932,-0.568198448,-1.102797113,-1.058379453,-0.793183411,1.687661883,-1.068318741,-2.115289159,-0.099819799,0.184913691,-1.437119359,0.061455507,-0.077392271,0.293548752,0.663309825,0.266922108,-0.820463823,0.201596917,-1.494552479,-1.428492504,0.274768184,-0.150400509,-0.954376447
Spurs,-0.600438297,-0.621020191,-0.824507676,0.203484145,0.645646465,-1.57544415,-1.579300175,-0.768622251,0.031844384,0.650653273,-0.173368692,-0.131109665,1.23566069,-0.366213213,-2.20307E-15,-0.803171238,-0.71495213,0.321517306,0.646625726,-0.173008203,0.414999257,0.421441434,1.546145475,-0.199057713,-0.150615293,1.611143404,1.630719619,1.087544948,0.727716557,-0.26660662,0.60186957,0.614910565,0.572897539,1.170705104,-0.885184386,1.606521791,1.60018882,1.559171523,-0.706323451,-0.43743655,-0.010433934,0.052726256,-0.730197863,-0.558567997,0.213085294,-1.737135244,-1.831669701,-0.426526519,-1.843092076,1.5373475,-0.507032232,-0.377806338,0.900616969,-0.378267134,0.903931771,-0.308011686,-0.265923468,-0.598182733,-1.384262159,-0.503109822,0.889312891,1.010549972,0.598342693,-0.760264706,-0.208115053,0.544757825,0.584074944,-0.362913756,-0.536910608,-0.52289931,0.850586051,0.805694113,-0.160602095,-0.742234611,0.507617619,-0.290597465,-0.291928933,-0.158154222,-1.611365069,-0.65625443,-1.105478859,-1.087063532,-0.595293665,-0.680135056,0.515291625,1.254501496,1.18045124,-2.31262503,0.296451364,-1.144517054,-0.581547721,-0.549126977,-0.546594983,0.900079569,0.021679391,0.139747718,0.184913691,-0.319101057,-0.215094274,-0.740754592,-0.961478523,-1.067063632,0.237482169,0.08918085,1.31568514,0.809303121,0.909040685,1.323883066,-0.019237274,-0.205146339
Lakers,-0.659140365,-0.783378411,0.717428757,0.597324426,-0.260116561,1.434846118,1.37529258,-0.423432617,-0.551969327,0.00196572,0.613031694,0.518424456,-0.823773793,0.744114083,-0.436557246,-0.04988009,-0.104627141,-0.520190735,-0.028114162,-1.146179348,0.456607055,0.421441434,-0.32954912,-0.560980828,-0.510492542,-1.932229061,-1.968416325,-1.559498416,0.949356118,-0.84618623,0.728135913,0.693409786,-0.653056043,0.259781824,-1.056289615,-0.251381306,-0.360826891,-0.394581491,-0.788454085,-0.509541476,0.623427563,0.602913278,-0.458636674,-0.373917419,-1.065426472,0.749222452,0.707613618,0.736727624,0.141313748,0.481154561,-0.942713726,-1.054474407,0.350117599,-0.296233298,-1.277972504,1.11358071,1.29070171,0.737798823,1.343845746,-1.466511609,-1.242932126,-1.369671037,2.566575236,2.584900001,-0.036276936,0.23899053,0.257862874,1.297878009,1.697630651,-0.457536897,0.302391299,0.25321815,0.934412189,1.069519164,-0.700162233,-0.512793428,-0.542153733,-1.013041911,2.902398527,-0.375670588,0.199364551,0.201944609,1.132978266,-0.83127618,-0.3515541,0.367323019,0.370998961,0.098219596,2.952161502,-1.144517054,-0.104715988,-0.061014109,0.77002067,0.143003296,-0.164143961,-0.039927919,-0.046228423,-0.598605632,0.430188548,-0.011056039,-1.067836766,-1.283360314,0.031402601,1.266368075,0.201596917,-1.027337007,-1.116821413,1.923377285,1.397325662,-0.579761393
Knicks,-1.397109222,-1.392221736,-1.852465299,-1.503157072,-1.72327222,0.604218079,0.742165561,0.543098357,-0.392747405,-0.174949067,-1.721204372,-1.574518823,-1.02179634,-1.067472558,0.83342747,-0.151676191,-0.017437857,-0.793177127,-0.618511564,-1.099837865,0.807961792,0.906166407,-0.446780032,-0.108576934,0.449180122,-0.311214092,-0.05776391,-0.389874604,-0.712940586,-1.193933996,1.494752997,1.635400438,0.007072809,-0.44871406,-0.508752881,-0.114097826,0.031376251,-1.084141378,-0.624192817,1.365186596,0.897318333,1.015553544,-0.036208158,-0.235429486,-0.544551308,-0.532633071,-0.409671042,-1.237279407,-0.986189561,-0.751070535,1.330407114,1.652197867,-2.182179503,-1.444707005,2.29241631,-0.870725342,-0.655079762,0.268399898,1.268064971,0.07493125,-0.913881969,-0.743297087,1.267541757,1.672582354,-0.208115053,-0.615049158,-0.441162989,0.498237529,2.535583623,0.261449655,0.656065333,0.805694113,0.027114639,0.368195122,0.192544614,0.32370902,0.583857867,0.183800853,0.427108813,-0.562726483,-0.436079638,-0.27069171,2.506732879,0.680135056,-0.496028387,0.1572018,0.370998961,-1.330429071,-0.815241252,-0.059798582,0.484311446,0.671155194,-0.347107763,-0.462657722,0.207502743,1.607098758,1.802908483,0.833855317,0.983288109,-1.00609952,0.102103914,0.447013143,-0.822355611,-0.178361701,0.122019186,-0.060684308,0.129862955,-0.003568418,0.898905369,0.38353446
Heat,-0.944264696,-0.783378411,0.010707892,-0.51855637,0.227601991,-0.179282128,0.056277957,0.197908723,0.934101937,-0.233920663,-0.514558277,-0.239365352,-0.308915172,1.036305476,1.666854939,-0.385807223,-0.104627141,1.663700399,0.393598268,-0.590081551,-0.153640646,0.017503957,0.999067885,-0.063336545,-0.150615293,0.494097832,0.964212963,-0.174417586,1.392635239,1.124384442,0.241108589,0.379412902,0.124952961,2.284055779,0.38099431,-0.352055858,-0.047064377,-0.710629773,0.648832007,-0.870066105,-0.456484617,-0.291140632,-0.15690202,0.04154638,0.639255883,-0.709440729,-0.409671042,1.829481516,-0.174387178,-0.399006221,0.629528188,1.313863833,-0.772901115,-0.268888685,0.053839196,-0.120440467,0.317810974,0.882229262,-0.474892858,2.258641967,-1.058664038,-0.868571877,-0.661326134,1.307655295,0.021002437,-0.968263103,-0.767375059,-0.670467786,0.301042364,0.980436207,-0.369589365,-0.023019832,1.21598729,0.894188153,-0.752674401,-0.734989391,-0.417041333,1.124177311,0.281503536,-0.890074299,0.373990434,0.674580927,-0.462349671,1.586981797,1.38213735,-1.990703987,-1.854994805,-0.824449335,2.149272391,0.816320183,0.736751775,1.037239845,0.730123226,0.59724906,1.322442856,0.529044933,0.87834003,0.030279662,1.16765463,-0.342737199,0.059560616,0.447013143,0.796840998,-0.338887231,0.122019186,0.14875711,0.441534047,0.189126152,-0.438959626,-0.499486739
Pacers,-0.919106667,-0.945736631,-1.01724973,0.137844098,0.227601991,-1.292677158,-1.262736666,-2.08034286,-0.180451511,1.004482848,-0.460467245,-0.419791497,0.483175013,1.153182034,-0.83342747,1.202211955,1.203212121,-2.24910455,-2.136676312,-0.868130449,1.302632276,1.350497632,-0.564010944,0.796230852,-0.03065621,-0.669707787,-0.590969235,0.87208793,-0.934580147,-1.078018074,-0.05651922,-0.013083204,-1.478217108,-0.802962002,-1.158952752,-0.251381306,-0.203945634,0.007661777,-0.418866233,-0.149016847,1.445099874,1.496967188,0.929342735,-0.69705593,-0.733960459,-0.37792637,-0.308099709,1.124479005,-1.121489958,-0.575038378,1.633489892,1.821364885,-0.993100863,0.770206574,0.365539807,-0.248778669,-0.071345321,-0.417644685,1.192284196,-0.952697322,-1.519334258,-1.494945827,0.598342693,0.456158824,-1.468261246,1.62021521,1.795719774,-1.654640684,-0.536910608,-0.915073793,1.664036329,1.634408057,-0.442177196,1.420181184,-1.067747405,-0.774200443,-0.667266133,-0.115409838,-0.519325489,-0.282142641,-1.420775594,-1.301898222,-0.329405676,-0.075570562,-1.218399825,1.558009922,1.787540449,0.604199332,0.914058373,0.607720477,-1.184599618,-1.037239845,0.331148786,2.212345108,-1.000349046,1.42742312,1.57176637,-1.99612851,0.522371808,0.320625122,-1.195466659,-1.067063632,-1.528914131,0.410231912,-2.02657953,-0.737341198,-0.649314775,-0.453189082,0.872672722,-1.034651102
Celtics,0.703586217,0.637256013,-1.274239136,-1.634437166,0.088253833,-0.621105552,-0.735130816,0.16338976,-1.082709064,-0.587750238,-0.277389907,-0.419791497,-0.269310663,-1.47654051,0.634992358,1.548318698,1.290401405,0.367015038,-0.871539022,-0.497398585,-0.985796601,-1.032733483,-0.798472769,-0.42525966,-1.150274318,0.629182413,0.386573861,-0.97468651,0.395257216,-0.730270308,2.306465203,2.106395765,0.667201661,-0.44871406,0.244110127,-0.324599162,-0.439267519,0.524831692,-0.665258134,-0.725856254,-0.2217211,-0.291140632,0.084485703,-0.466242708,-1.11277876,0.097244212,-0.003385711,-0.074025264,-0.309687576,0.305122405,-0.469146884,-0.716140373,0.988696868,0.004557435,-0.73958054,-1.166890425,-1.530681425,-0.742613171,-0.929577508,0.460291965,0.25753659,0.133626443,0.873895249,-0.091231765,-0.208115053,0.065019482,-0.068349196,-0.178381338,-0.72312238,0.457536897,0.815218648,0.529456131,-1.255616378,0.368195122,0.612641954,0.911874804,0.708970267,0.141056469,0.281503536,-0.188614694,0.165409518,-0.012890081,-0.373720341,-0.226711685,0.370817338,0.717525049,0.573362031,0.753016902,0.790536971,0.566000536,0.386140207,0.183042326,0.410943674,-0.563601225,-0.071232285,-0.399279194,-0.508512649,0.624226885,1.44420441,-1.072435752,-0.131884222,-0.418173585,1.091240381,0.196197871,-0.673758116,1.340962105,1.220711776,-0.645883652,1.030068604,-0.660036048
Hornets,-1.606759465,-1.716938175,-2.36644411,2.303965643,-2.35033893,-0.862635691,-0.840651986,-1.217368775,-0.233525484,-1.236437792,2.115098039,2.178344987,-0.744564775,0.159731295,-1.547793872,0.387843145,0.418508564,-0.360948674,0.351427025,0.058699212,0.30404513,0.340653939,0.1784515,-2.234875233,-2.42983787,0.301862082,0.431007638,-1.374820972,-0.158841685,0.197057067,0.214051515,0.22241446,0.431441357,0.360995522,-0.987847523,-1.477780394,-1.380555061,-0.768093097,0.936289226,-1.014275957,0.013042418,0.052726256,-1.937136479,0.04154638,-0.876017322,-0.985702696,-0.917527706,-0.074025264,1.764918513,-0.134957987,-0.753286989,-0.716140373,0.173957801,2.028058729,-1.844700887,-1.699987573,-1.627970499,-0.778720781,-0.929577508,-0.824243751,-2.006328491,-1.996044987,0.244060835,-1.186012942,0.192840554,1.082486518,1.283100807,-0.670467786,-1.095545923,-0.784348966,1.946975556,2.04876503,0.371261986,-0.33312892,-1.59286908,0.768100946,1.084307467,-2.124395907,-0.155312296,-0.14185072,-0.431228919,-0.227724772,0.423943628,-0.982417303,-1.651822687,1.768131141,1.989903518,-0.258942571,-0.382916346,-1.144517054,-1.81570044,-1.64738093,-0.825877092,-0.462657722,-0.535790665,1.936504093,2.034050596,-0.039596482,-0.215094274,-0.210064735,-2.259049095,-2.364843724,2.533797359,1.212859565,-0.355447195,-1.365665452,-1.272656958,-1.716409043,0.033228019,0.490567333
Grizzlies,-0.889755633,-0.864557521,0.299820973,-0.452916323,-0.608486956,-0.945109397,-0.893412571,0.37050354,-0.286599458,-0.646721834,-0.497914883,-0.419791497,-0.625751247,0.510360968,-0.83342747,-0.019341259,0.069751427,-0.815925993,-0.112456648,0.058699212,2.282727069,2.360341325,1.27260668,1.067673188,-0.230588015,-1.111330455,-0.946439452,-0.97468651,-0.934580147,-0.382522542,-0.462375324,-0.405579309,-0.653056043,0.765850313,-0.85096334,1.396020455,1.521748192,-0.250923181,-1.158041937,-0.581646402,-0.612993629,-0.566234143,0.386220357,-1.158682373,-0.165733007,0.064092776,0.199756954,0.172725615,-0.084186914,0.481154561,0.591642841,0.806362782,0.107897877,0.004557435,-0.342870672,-0.475838566,-0.265923468,0.629475994,-2.142069911,0.588745536,-0.729613881,-0.618022297,-0.110221022,-1.003549412,-0.093556308,0.481495626,0.630676668,0.313705111,-0.72312238,0.098043621,-0.10433384,0.115099159,-1.568477602,-1.092896632,1.977958309,-1.048677809,-0.917490933,-1.440485756,-0.519325489,-0.095086746,-0.125633622,0.030076857,-0.107832351,-0.83127618,1.526611638,0.460710227,0.573362031,0.098219596,-0.444677046,-1.519996525,-1.114477304,-0.915211628,0.690225782,0.294418551,0.207502743,0.379315235,0.647197917,1.008545676,1.075471369,-0.409073431,-0.365872358,-0.201876903,-1.440594316,-0.820463823,1.633996061,0.132646231,0.285698501,0.317589199,-0.858681977,1.507379622
Trailblazers,-0.784930511,-0.864557521,-0.021415784,-0.649836463,0.436624228,-0.444376182,-0.471327892,0.922806954,-0.551969327,-0.174949067,-0.115116811,-0.131109665,0.403965995,-0.599966328,-0.67467938,1.263289615,1.203212121,0.367015038,-1.12456648,0.892845907,1.408963315,1.39089138,0.959990914,0.072384623,-0.950342513,0.733093629,0.6976103,0.995206226,-1.156219708,-0.382522542,-0.300032882,-0.327080088,0.832233874,-1.562064735,-0.474531836,-1.148300042,-1.145233175,-0.96921473,-1.075911303,1.6536063,-0.417357364,-0.428687388,0.989689665,-0.466242708,-0.733960459,-0.101664404,-0.104957044,1.230229382,-1.076389826,0.129090248,-0.942713726,-1.054474407,-1.103200737,-0.733747091,0.790586095,-0.22903433,-0.265923468,0.05175424,0.66181877,-0.760016965,-0.255781655,-0.242197927,-1.015607992,-1.246834118,-1.181864384,2.094681703,2.075330119,-1.654640684,-1.933498895,-2.091597242,0.337758702,0.25321815,-0.22317434,-1.209783972,-1.38282041,0.820382349,0.834082667,-0.158154222,-0.44652285,-1.077130193,-1.658460824,-1.688600665,-1.08275498,1.133558427,-0.3515541,1.628050328,1.585177379,-0.55657771,-0.815241252,-0.894197407,-1.941920604,-1.891437364,0.011969233,-1.825395013,-0.814525694,1.307639362,1.109482143,-0.109472625,0.061455507,-0.807090824,0.059560616,0.014419779,0.208042231,-0.659938293,0.042441456,-0.753452076,-0.805150321,-0.067799941,-0.045469921,0.008919406
