game_id,Date,Day,SUr,ATSr,OUr,ot,match id,Home,Away,Result,won bet
21400187,22-Nov-14,Sat,W,L,U,0,20141122PHINYK,NYK,PHI,L,1
21401151,5-Apr-15,Sun,W,W,O,0,20150405PHINYK,NYK,PHI,L,0
21400627,21-Jan-15,Wed,L,L,U,0,20150121NYKPHI,PHI,NYK,W,0
21401021,20-Mar-15,Fri,W,W,U,0,20150320NYKPHI,PHI,NYK,W,1
21401001,17-Mar-15,Tue,W,W,O,1,20150317SASNYK,NYK,SAS,L,0
21400322,10-Dec-14,Wed,W,W,O,0,20141210NYKSAS,SAS,NYK,W,1
21400100,10-Nov-14,Mon,L,L,U,0,20141110ATLNYK,NYK,ATL,L,1
21400084,8-Nov-14,Sat,W,P,O,0,20141108NYKATL,ATL,NYK,W,0
21401205,13-Apr-15,Mon,L,L,O,0,20150413NYKATL,ATL,NYK,W,0
21400245,30-Nov-14,Sun,L,L,U,0,20141130MIANYK,NYK,MIA,L,1
21400807,20-Feb-15,Fri,L,L,O,0,20150220MIANYK,NYK,MIA,L,1
21400777,9-Feb-15,Mon,W,W,O,0,20150209NYKMIA,MIA,NYK,W,1
21400367,16-Dec-14,Tue,L,L,U,0,20141216DALNYK,NYK,DAL,L,1
21400214,26-Nov-14,Wed,W,L,O,1,20141126NYKDAL,DAL,NYK,W,0
21400270,3-Dec-14,Wed,L,L,U,0,20141203PHIMIN,MIN,PHI,L,1
21400696,30-Jan-15,Fri,W,W,O,0,20150130MINPHI,PHI,MIN,W,1
21400177,21-Nov-14,Fri,L,L,O,0,20141121SASMIN,MIN,SAS,L,1
21400556,10-Jan-15,Sat,L,L,P,0,20150110SASMIN,MIN,SAS,L,1
21400291,6-Dec-14,Sat,W,W,O,0,20141206MINSAS,SAS,MIN,W,1
21400986,15-Mar-15,Sun,W,W,O,0,20150315MINSAS,SAS,MIN,W,1
21400779,9-Feb-15,Mon,L,L,O,0,20150209ATLMIN,MIN,ATL,L,1
21400661,25-Jan-15,Sun,W,L,O,0,20150125MINATL,ATL,MIN,W,0
21400737,4-Feb-15,Wed,W,L,O,0,20150204MIAMIN,MIN,MIA,L,1
21400085,8-Nov-14,Sat,W,W,U,0,20141108MINMIA,MIA,MIN,W,1
21400631,21-Jan-15,Wed,L,L,U,0,20150121DALMIN,MIN,DAL,L,1
21400137,15-Nov-14,Sat,W,W,O,0,20141115MINDAL,DAL,MIN,W,1
21400724,2-Feb-15,Mon,W,L,U,0,20150202MINDAL,DAL,MIN,W,0
21400249,1-Dec-14,Mon,L,W,O,0,20141201SASPHI,PHI,SAS,L,0
21400152,17-Nov-14,Mon,W,W,U,0,20141117PHISAS,SAS,PHI,W,1
21400568,13-Jan-15,Tue,L,L,U,0,20150113ATLPHI,PHI,ATL,L,1
21400927,7-Mar-15,Sat,W,W,U,0,20150307ATLPHI,PHI,ATL,L,0
21400319,10-Dec-14,Wed,W,W,U,0,20141210PHIATL,ATL,PHI,W,1
21400708,31-Jan-15,Sat,W,L,U,0,20150131PHIATL,ATL,PHI,W,0
21400030,1-Nov-14,Sat,L,L,O,0,20141101MIAPHI,PHI,MIA,L,1
21401227,15-Apr-15,Wed,L,L,O,0,20150415MIAPHI,PHI,MIA,L,1
21400422,23-Dec-14,Tue,L,L,U,0,20141223PHIMIA,MIA,PHI,W,0
21400830,23-Feb-15,Mon,W,P,O,0,20150223PHIMIA,MIA,PHI,W,0
21400235,29-Nov-14,Sat,L,W,O,0,20141129DALPHI,PHI,DAL,L,0
21400120,13-Nov-14,Thu,W,W,U,0,20141113PHIDAL,DAL,PHI,W,1
,,,,,,,,,,,25
