game_id,Date,Day,SUr,ATSr,OUr,ot,match id,Home,Away,Result,Won_bet
21400488,2-Jan-15,Fri,W,W,U,0,20150102HOUNOP,NOP,HOU,L,0
21401068,25-Mar-15,Wed,L,L,U,0,20150325HOUNOP,NOP,HOU,L,1
21400380,18-Dec-14,Thu,L,L,U,0,20141218NOPHOU,HOU,NOP,W,0
21401199,12-Apr-15,Sun,W,W,O,0,20150412NOPHOU,HOU,NOP,W,1
21400348,14-Dec-14,Sun,L,W,O,1,20141214GSWNOP,NOP,GSW,L,0
21401156,7-Apr-15,Tue,W,W,U,0,20150407GSWNOP,NOP,GSW,L,0
21400275,4-Dec-14,Thu,W,W,U,0,20141204NOPGSW,GSW,NOP,W,1
21401030,20-Mar-15,Fri,W,W,O,0,20150320NOPGSW,GSW,NOP,W,1
21400469,30-Dec-14,Tue,W,W,O,0,20141230PHXNOP,NOP,PHX,L,0
21401182,10-Apr-15,Fri,W,W,U,0,20150410PHXNOP,NOP,PHX,L,0
21401018,19-Mar-15,Thu,W,W,U,0,20150319NOPPHX,PHX,NOP,W,1
21400258,2-Dec-14,Tue,W,W,O,0,20141202OKCNOP,NOP,OKC,L,0
21400738,4-Feb-15,Wed,L,L,P,0,20150204OKCNOP,NOP,OKC,L,1
21400408,21-Dec-14,Sun,L,L,U,0,20141221NOPOKC,OKC,NOP,W,0
21400755,6-Feb-15,Fri,L,L,O,0,20150206NOPOKC,OKC,NOP,W,0
21400687,28-Jan-15,Wed,L,L,U,0,20150128DENNOP,NOP,DEN,L,1
21400984,15-Mar-15,Sun,L,L,O,2,20150315DENNOP,NOP,DEN,L,1
21400181,21-Nov-14,Fri,W,W,O,0,20141121NOPDEN,DEN,NOP,W,1
21400884,1-Mar-15,Sun,L,L,U,0,20150301NOPDEN,DEN,NOP,W,0
21401104,30-Mar-15,Mon,W,W,U,0,20150330HOUTOR,TOR,HOU,L,0
21400819,21-Feb-15,Sat,W,W,U,0,20150221TORHOU,HOU,TOR,W,1
21400861,27-Feb-15,Fri,L,L,U,0,20150227GSWTOR,TOR,GSW,L,1
21400493,2-Jan-15,Fri,W,W,O,0,20150102TORGSW,GSW,TOR,W,1
21400201,24-Nov-14,Mon,W,L,U,0,20141124PHXTOR,TOR,PHX,L,1
21400507,4-Jan-15,Sun,W,W,O,0,20150104TORPHX,PHX,TOR,W,1
21400052,4-Nov-14,Tue,W,W,U,0,20141104OKCTOR,TOR,OKC,L,0
21400936,8-Mar-15,Sun,W,L,U,0,20150308TOROKC,OKC,TOR,W,0
21400304,8-Dec-14,Mon,W,L,O,1,20141208DENTOR,TOR,DEN,L,1
21400457,28-Dec-14,Sun,L,L,O,0,20141228TORDEN,DEN,TOR,W,0
21400892,3-Mar-15,Tue,W,P,P,0,20150303HOUATL,ATL,HOU,L,0
21400396,20-Dec-14,Sat,L,L,O,0,20141220ATLHOU,HOU,ATL,W,0
21400749,6-Feb-15,Fri,W,W,O,0,20150206GSWATL,ATL,GSW,L,0
21401014,18-Mar-15,Wed,W,W,P,0,20150318ATLGSW,GSW,ATL,W,1
21401154,7-Apr-15,Tue,W,W,U,0,20150407PHXATL,ATL,PHX,L,0
21400974,13-Mar-15,Fri,L,L,U,0,20150313ATLPHX,PHX,ATL,W,0
21400642,23-Jan-15,Fri,W,W,U,0,20150123OKCATL,ATL,OKC,L,0
21401026,20-Mar-15,Fri,W,W,O,0,20150320ATLOKC,OKC,ATL,W,1
21400295,7-Dec-14,Sun,W,W,U,0,20141207DENATL,ATL,DEN,L,0
21400958,11-Mar-15,Wed,W,W,O,0,20150311ATLDEN,DEN,ATL,W,1
21400043,3-Nov-14,Mon,L,L,U,0,20141103HOUPHI,PHI,HOU,L,1
21400127,14-Nov-14,Fri,W,L,U,0,20141114PHIHOU,HOU,PHI,W,0
21400775,9-Feb-15,Mon,L,W,U,0,20150209GSWPHI,PHI,GSW,L,0
21400474,30-Dec-14,Tue,W,W,O,0,20141230PHIGSW,GSW,PHI,W,1
21400173,21-Nov-14,Fri,L,L,O,0,20141121PHXPHI,PHI,PHX,L,1
21400491,2-Jan-15,Fri,W,W,U,0,20150102PHIPHX,PHX,PHI,W,1
21400277,5-Dec-14,Fri,L,W,U,0,20141205OKCPHI,PHI,OKC,L,0
21400904,4-Mar-15,Wed,W,L,O,1,20150304PHIOKC,OKC,PHI,W,0
21400726,3-Feb-15,Tue,W,W,O,0,20150203DENPHI,PHI,DEN,L,0
21401069,25-Mar-15,Wed,L,L,U,0,20150325PHIDEN,DEN,PHI,W,0
21401097,29-Mar-15,Sun,L,L,U,0,20150329HOUWAS,WAS,HOU,L,1
21400463,29-Dec-14,Mon,L,L,O,0,20141229WASHOU,HOU,WAS,W,0
21400838,24-Feb-15,Tue,L,L,O,0,20150224GSWWAS,WAS,GSW,L,1
21401053,23-Mar-15,Mon,W,W,U,0,20150323WASGSW,GSW,WAS,W,1
21400406,21-Dec-14,Sun,L,L,U,0,20141221PHXWAS,WAS,PHX,L,1
21400691,28-Jan-15,Wed,W,W,U,0,20150128WASPHX,PHX,WAS,W,1
21400633,21-Jan-15,Wed,L,L,O,1,20150121OKCWAS,WAS,OKC,L,1
21400489,2-Jan-15,Fri,W,L,O,0,20150102WASOKC,OKC,WAS,W,0
21400278,5-Dec-14,Fri,W,W,U,0,20141205DENWAS,WAS,DEN,L,0
21400666,25-Jan-15,Sun,L,W,O,1,20150125WASDEN,DEN,WAS,W,1
,,,,,,,,,,,29
