Team,On,Against,wins_on,losses_on,wins_against,losses_against
Pelicans,,,0,0,0,0
Spurs,,,0,0,0,0
Lakers,,,0,0,0,0
Knicks,,,0,0,0,0
Heat,,,0,0,0,0
Pacers,,,0,0,0,0
Celtics,,,0,0,0,0
Hornets,,,0,0,0,0
Grizzlies,,,0,0,0,0
Trailblazers,,,0,0,0,0
Raptors,,,0,0,0,0
Jazz,,,0,0,0,0
Kings,,,0,0,0,0
Nuggets,,,0,0,0,0
Suns,,,0,0,0,0
Magic,,,0,0,0,0
Cavaliers,,,0,0,0,0
Mavericks,,,0,0,0,0
Clippers,,,0,0,0,0
Timberwolves,,,0,0,0,0
Bulls,,,0,0,0,0
Bucks,,,0,0,0,0
Hawks,,,0,0,0,0
Thunder,,,0,0,0,0
Pistons,,,0,0,0,0
Wizards,,,0,0,0,0
Seventysixers,,,0,0,0,0
Rockets,,,0,0,0,0
Warriors,,,0,0,0,0
Nets,,,0,0,0,0
