game_id,home_wins,odds,amount
0021400126,L,-110,1
0021400135,W,-110,1
0021400136,L,-110,1
0021400139,W,-110,1
0021400147,L,-110,1
0021400156,L,-110,1
0021400164,L,-110,1
0021400174,W,-110,1
0021400178,W,-110,1
0021400188,W,-110,1
0021400189,W,-110,1
0021400196,W,-110,1
0021400201,L,-110,1
0021400203,L,-110,1
0021400204,L,-110,1
0021400206,L,-110,1
0021400210,L,-110,1
0021400213,W,-110,1
0021400215,L,-110,1
0021400219,L,-110,1
0021400220,L,-110,1
0021400221,L,-110,1
0021400223,L,-110,1
0021400224,L,-110,1
0021400227,W,-110,1
0021400231,L,-110,1
0021400234,L,-110,1
0021400236,W,-110,1
0021400239,L,-110,1
0021400240,L,-110,1
0021400247,L,-110,1
0021400248,W,-110,1
0021400253,W,-110,1
0021400254,L,-110,1
0021400256,L,-110,1
0021400257,L,-110,1
0021400259,L,-110,1
0021400261,L,-110,1
0021400263,W,-110,1
0021400264,W,-110,1
0021400266,W,-110,1
0021400269,L,-110,1
0021400271,L,-110,1
0021400273,L,-110,1
0021400276,W,-110,1
0021400282,W,-110,1
0021400284,L,-110,1
0021400286,L,-110,1
0021400289,L,-110,1
0021400290,L,-110,1
0021400292,W,-110,1
0021400294,W,-110,1
0021400298,L,-110,1
0021400299,L,-110,1
0021400301,L,-110,1
0021400302,L,-110,1
0021400306,L,-110,1
0021400307,W,-110,1
0021400309,L,-110,1
0021400314,W,-110,1
0021400315,L,-110,1
0021400316,W,-110,1
0021400317,L,-110,1
0021400318,W,-110,1
0021400327,W,-110,1
0021400328,L,-110,1
0021400334,L,-110,1
0021400335,W,-110,1
0021400336,W,-110,1
0021400338,L,-110,1
0021400340,W,-110,1
0021400342,W,-110,1
0021400343,W,-110,1
0021400345,W,-110,1
0021400346,W,-110,1
0021400348,L,-110,1
0021400349,L,-110,1
0021400350,W,-110,1
0021400351,W,-110,1
0021400353,L,-110,1
0021400355,W,-110,1
0021400356,W,-110,1
0021400358,L,-110,1
0021400359,L,-110,1
0021400360,L,-110,1
0021400361,W,-110,1
0021400363,W,-110,1
0021400365,L,-110,1
0021400366,W,-110,1
0021400367,L,-110,1
0021400368,L,-110,1
0021400369,L,-110,1
0021400371,W,-110,1
0021400373,L,-110,1
0021400377,W,-110,1
0021400378,L,-110,1
0021400379,L,-110,1
0021400380,L,-110,1
0021400382,L,-110,1
0021400383,L,-110,1
0021400384,L,-110,1
0021400385,W,-110,1
0021400389,L,-110,1
0021400390,L,-110,1
0021400391,L,-110,1
0021400392,L,-110,1
0021400393,W,-110,1
0021400396,L,-110,1
0021400398,W,-110,1
0021400402,W,-110,1
0021400403,W,-110,1
0021400404,W,-110,1
0021400405,L,-110,1
0021400406,L,-110,1
0021400407,W,-110,1
0021400408,L,-110,1
0021400410,W,-110,1
0021400412,L,-110,1
0021400414,W,-110,1
0021400416,L,-110,1
0021400418,W,-110,1
0021400419,W,-110,1
0021400420,L,-110,1
0021400421,L,-110,1
0021400424,L,-110,1
0021400425,W,-110,1
0021400427,L,-110,1
0021400428,L,-110,1
0021400429,W,-110,1
0021400430,L,-110,1
0021400432,W,-110,1
0021400433,W,-110,1
0021400436,L,-110,1
0021400439,L,-110,1
0021400440,L,-110,1
0021400443,L,-110,1
0021400444,W,-110,1
0021400445,W,-110,1
0021400446,L,-110,1
0021400447,L,-110,1
0021400449,L,-110,1
0021400451,L,-110,1
0021400453,L,-110,1
0021400457,W,-110,1
0021400458,L,-110,1
0021400459,W,-110,1
0021400461,L,-110,1
0021400462,W,-110,1
0021400463,L,-110,1
0021400465,L,-110,1
0021400466,W,-110,1
0021400467,L,-110,1
0021400469,L,-110,1
0021400471,L,-110,1
0021400473,W,-110,1
0021400475,W,-110,1
0021400480,L,-110,1
0021400482,L,-110,1
0021400483,L,-110,1
0021400484,W,-110,1
0021400485,L,-110,1
0021400488,W,-110,1
0021400490,W,-110,1
0021400495,W,-110,1
0021400496,L,-110,1
0021400500,W,-110,1
0021400501,L,-110,1
0021400502,L,-110,1
0021400504,W,-110,1
0021400505,W,-110,1
0021400506,W,-110,1
0021400509,W,-110,1
0021400510,L,-110,1
0021400511,W,-110,1
0021400512,W,-110,1
0021400513,L,-110,1
0021400514,W,-110,1
0021400515,L,-110,1
0021400517,W,-110,1
0021400519,L,-110,1
0021400520,L,-110,1
0021400522,W,-110,1
0021400523,L,-110,1
0021400524,L,-110,1
0021400526,W,-110,1
0021400527,W,-110,1
0021400529,L,-110,1
0021400530,W,-110,1
0021400531,W,-110,1
0021400532,W,-110,1
0021400533,W,-110,1
0021400535,L,-110,1
0021400538,W,-110,1
0021400539,L,-110,1
0021400540,L,-110,1
0021400541,W,-110,1
0021400543,W,-110,1
0021400545,L,-110,1
0021400546,L,-110,1
0021400547,L,-110,1
0021400548,W,-110,1
0021400551,W,-110,1
0021400552,L,-110,1
0021400553,W,-110,1
0021400557,W,-110,1
0021400559,L,-110,1
0021400560,W,-110,1
0021400561,W,-110,1
0021400562,L,-110,1
0021400563,W,-110,1
0021400564,L,-110,1
0021400565,L,-110,1
0021400566,L,-110,1
0021400567,L,-110,1
0021400570,W,-110,1
0021400572,L,-110,1
0021400573,L,-110,1
0021400574,L,-110,1
0021400575,W,-110,1
0021400576,L,-110,1
0021400577,L,-110,1
0021400578,L,-110,1
0021400579,L,-110,1
0021400581,W,-110,1
0021400583,L,-110,1
0021400584,W,-110,1
0021400586,L,-110,1
0021400587,L,-110,1
0021400588,L,-110,1
0021400590,L,-110,1
0021400591,L,-110,1
0021400592,L,-110,1
0021400593,W,-110,1
0021400594,W,-110,1
0021400597,W,-110,1
0021400598,L,-110,1
0021400600,W,-110,1
0021400602,W,-110,1
