Date,Season
37922,2003
37923,2003
37924,2003
37925,2003
37926,2003
37927,2003
37928,2003
37929,2003
37930,2003
37931,2003
37932,2003
37933,2003
37934,2003
37935,2003
37936,2003
37937,2003
37938,2003
37939,2003
37940,2003
37941,2003
37942,2003
37943,2003
37944,2003
37945,2003
37946,2003
37947,2003
37948,2003
37949,2003
37950,2003
37951,2003
37952,2003
37953,2003
37954,2003
37955,2003
37956,2003
37957,2003
37958,2003
37959,2003
37960,2003
37961,2003
37962,2003
37963,2003
37964,2003
37965,2003
37966,2003
37967,2003
37968,2003
37969,2003
37970,2003
37971,2003
37972,2003
37973,2003
37974,2003
37975,2003
37976,2003
37977,2003
37978,2003
37980,2003
37981,2003
37982,2003
37983,2003
37984,2003
37985,2003
37986,2003
37988,2003
37989,2003
37990,2003
37991,2003
37992,2003
37993,2003
37994,2003
37995,2003
37996,2003
37997,2003
37998,2003
37999,2003
38000,2003
38001,2003
38002,2003
38003,2003
38004,2003
38005,2003
38006,2003
38007,2003
38008,2003
38009,2003
38010,2003
38011,2003
38012,2003
38013,2003
38014,2003
38015,2003
38016,2003
38017,2003
38018,2003
38019,2003
38020,2003
38021,2003
38022,2003
38023,2003
38024,2003
38025,2003
38026,2003
38027,2003
38028,2003
38029,2003
38034,2003
38035,2003
38036,2003
38037,2003
38038,2003
38039,2003
38040,2003
38041,2003
38042,2003
38043,2003
38044,2003
38045,2003
38046,2003
38047,2003
38048,2003
38049,2003
38050,2003
38051,2003
38052,2003
38053,2003
38054,2003
38055,2003
38056,2003
38057,2003
38058,2003
38059,2003
38060,2003
38061,2003
38062,2003
38063,2003
38064,2003
38065,2003
38066,2003
38067,2003
38068,2003
38069,2003
38070,2003
38071,2003
38072,2003
38073,2003
38074,2003
38075,2003
38076,2003
38077,2003
38078,2003
38079,2003
38080,2003
38081,2003
38082,2003
38083,2003
38084,2003
38085,2003
38086,2003
38087,2003
38088,2003
38089,2003
38090,2003
38091,2003
38293,2004
38294,2004
38295,2004
38296,2004
38297,2004
38298,2004
38299,2004
38300,2004
38301,2004
38302,2004
38303,2004
38304,2004
38305,2004
38306,2004
38307,2004
38308,2004
38309,2004
38310,2004
38311,2004
38312,2004
38313,2004
38314,2004
38315,2004
38316,2004
38317,2004
38318,2004
38319,2004
38320,2004
38321,2004
38322,2004
38323,2004
38324,2004
38325,2004
38326,2004
38327,2004
38328,2004
38329,2004
38330,2004
38331,2004
38332,2004
38333,2004
38334,2004
38335,2004
38336,2004
38337,2004
38338,2004
38339,2004
38340,2004
38341,2004
38342,2004
38343,2004
38344,2004
38346,2004
38347,2004
38348,2004
38349,2004
38350,2004
38351,2004
38352,2004
38353,2004
38354,2004
38355,2004
38356,2004
38357,2004
38358,2004
38359,2004
38360,2004
38361,2004
38362,2004
38363,2004
38364,2004
38365,2004
38366,2004
38367,2004
38368,2004
38369,2004
38370,2004
38371,2004
38372,2004
38373,2004
38374,2004
38375,2004
38376,2004
38377,2004
38378,2004
38379,2004
38380,2004
38381,2004
38382,2004
38383,2004
38384,2004
38385,2004
38386,2004
38387,2004
38388,2004
38389,2004
38390,2004
38391,2004
38392,2004
38393,2004
38394,2004
38395,2004
38396,2004
38397,2004
38398,2004
38399,2004
38400,2004
38405,2004
38406,2004
38407,2004
38408,2004
38409,2004
38410,2004
38411,2004
38412,2004
38413,2004
38414,2004
38415,2004
38416,2004
38417,2004
38418,2004
38419,2004
38420,2004
38421,2004
38422,2004
38423,2004
38424,2004
38425,2004
38426,2004
38427,2004
38428,2004
38429,2004
38430,2004
38431,2004
38432,2004
38433,2004
38434,2004
38435,2004
38436,2004
38437,2004
38438,2004
38439,2004
38440,2004
38441,2004
38442,2004
38443,2004
38444,2004
38445,2004
38447,2004
38448,2004
38449,2004
38450,2004
38451,2004
38452,2004
38453,2004
38454,2004
38455,2004
38456,2004
38457,2004
38458,2004
38459,2004
38460,2004
38461,2004
38462,2004
38657,2005
38658,2005
38659,2005
38660,2005
38661,2005
38662,2005
38663,2005
38664,2005
38665,2005
38666,2005
38667,2005
38668,2005
38669,2005
38670,2005
38671,2005
38672,2005
38673,2005
38674,2005
38675,2005
38676,2005
38677,2005
38678,2005
38679,2005
38680,2005
38681,2005
38682,2005
38683,2005
38684,2005
38685,2005
38686,2005
38687,2005
38688,2005
38689,2005
38690,2005
38691,2005
38692,2005
38693,2005
38694,2005
38695,2005
38696,2005
38697,2005
38698,2005
38699,2005
38700,2005
38701,2005
38702,2005
38703,2005
38704,2005
38705,2005
38706,2005
38707,2005
38708,2005
38709,2005
38711,2005
38712,2005
38713,2005
38714,2005
38715,2005
38716,2005
38717,2005
38718,2005
38719,2005
38720,2005
38721,2005
38722,2005
38723,2005
38724,2005
38725,2005
38726,2005
38727,2005
38728,2005
38729,2005
38730,2005
38731,2005
38732,2005
38733,2005
38734,2005
38735,2005
38736,2005
38737,2005
38738,2005
38739,2005
38740,2005
38741,2005
38742,2005
38743,2005
38744,2005
38745,2005
38746,2005
38747,2005
38748,2005
38749,2005
38750,2005
38751,2005
38752,2005
38753,2005
38754,2005
38755,2005
38756,2005
38757,2005
38758,2005
38759,2005
38760,2005
38761,2005
38762,2005
38763,2005
38764,2005
38769,2005
38770,2005
38771,2005
38772,2005
38773,2005
38774,2005
38775,2005
38776,2005
38777,2005
38778,2005
38779,2005
38780,2005
38781,2005
38782,2005
38783,2005
38784,2005
38785,2005
38786,2005
38787,2005
38788,2005
38789,2005
38790,2005
38791,2005
38792,2005
38793,2005
38794,2005
38795,2005
38796,2005
38797,2005
38798,2005
38799,2005
38800,2005
38801,2005
38802,2005
38803,2005
38804,2005
38805,2005
38806,2005
38807,2005
38808,2005
38809,2005
38811,2005
38812,2005
38813,2005
38814,2005
38815,2005
38816,2005
38817,2005
38818,2005
38819,2005
38820,2005
38821,2005
38822,2005
38823,2005
38824,2005
38825,2005
38826,2005
39021,2006
39022,2006
39023,2006
39024,2006
39025,2006
39026,2006
39027,2006
39028,2006
39029,2006
39030,2006
39031,2006
39032,2006
39033,2006
39034,2006
39035,2006
39036,2006
39037,2006
39038,2006
39039,2006
39040,2006
39041,2006
39042,2006
39043,2006
39045,2006
39046,2006
39047,2006
39048,2006
39049,2006
39050,2006
39051,2006
39052,2006
39053,2006
39054,2006
39055,2006
39056,2006
39057,2006
39058,2006
39059,2006
39060,2006
39061,2006
39062,2006
39063,2006
39064,2006
39065,2006
39066,2006
39067,2006
39068,2006
39069,2006
39070,2006
39071,2006
39072,2006
39073,2006
39074,2006
39076,2006
39077,2006
39078,2006
39079,2006
39080,2006
39081,2006
39082,2006
39083,2006
39084,2006
39085,2006
