gameid,teamid,location
20000001,1610612755,away
20000002,1610612739,away
20000003,1610612764,away
20000004,1610612766,away
20000005,1610612765,away
20000006,1610612758,away
20000007,1610612749,away
20000008,1610612750,away
20000009,1610612754,away
20000010,1610612746,away
20000011,1610612756,away
20000012,1610612747,away
20000013,1610612760,away
20000014,1610612765,away
20000015,1610612761,away
20000016,1610612753,away
20000017,1610612764,away
20000018,1610612758,away
20000019,1610612762,away
20000020,1610612743,away
20000021,1610612737,away
20000022,1610612754,away
20000023,1610612749,away
20000024,1610612750,away
20000025,1610612744,away
20000026,1610612757,away
20000027,1610612763,away
20000028,1610612761,away
20000029,1610612752,away
20000030,1610612755,away
20000031,1610612748,away
20000032,1610612758,away
20000033,1610612751,away
20000034,1610612766,away
20000035,1610612755,away
20000036,1610612753,away
20000037,1610612764,away
20000038,1610612738,away
20000039,1610612741,away
20000040,1610612765,away
20000041,1610612758,away
20000042,1610612762,away
20000043,1610612756,away
20000044,1610612745,away
20000045,1610612759,away
20000046,1610612757,away
20000047,1610612747,away
20000048,1610612745,away
20000049,1610612746,away
20000050,1610612760,away
20000051,1610612742,away
20000052,1610612750,away
20000053,1610612757,away
20000054,1610612737,away
20000055,1610612738,away
20000056,1610612764,away
20000057,1610612752,away
20000058,1610612747,away
20000059,1610612759,away
20000060,1610612737,away
20000061,1610612739,away
20000062,1610612765,away
20000063,1610612751,away
20000064,1610612766,away
20000065,1610612760,away
20000066,1610612749,away
20000067,1610612763,away
20000068,1610612747,away
20000069,1610612750,away
20000070,1610612762,away
20000071,1610612744,away
20000072,1610612765,away
20000073,1610612760,away
20000074,1610612753,away
20000075,1610612755,away
20000076,1610612763,away
20000077,1610612737,away
20000078,1610612743,away
20000079,1610612752,away
20000080,1610612754,away
20000081,1610612739,away
20000082,1610612759,away
20000083,1610612748,away
20000084,1610612737,away
20000085,1610612758,away
20000086,1610612766,away
20000087,1610612760,away
20000088,1610612738,away
20000089,1610612764,away
20000090,1610612765,away
20000091,1610612761,away
20000092,1610612750,away
20000093,1610612763,away
20000094,1610612748,away
20000095,1610612745,away
20000096,1610612760,away
20000097,1610612746,away
20000098,1610612745,away
20000099,1610612753,away
20000100,1610612742,away
20000101,1610612757,away
20000102,1610612742,away
20000103,1610612766,away
20000104,1610612757,away
20000105,1610612744,away
20000106,1610612741,away
20000107,1610612762,away
20000108,1610612743,away
20000109,1610612753,away
20000110,1610612752,away
20000111,1610612764,away
20000112,1610612748,away
20000113,1610612739,away
20000114,1610612754,away
20000115,1610612737,away
20000116,1610612744,away
20000117,1610612742,away
20000118,1610612752,away
20000119,1610612759,away
20000120,1610612757,away
20000121,1610612766,away
20000122,1610612741,away
20000123,1610612753,away
20000124,1610612747,away
20000125,1610612746,away
20000126,1610612737,away
20000127,1610612748,away
20000128,1610612765,away
20000129,1610612744,away
20000130,1610612739,away
20000131,1610612759,away
20000132,1610612752,away
20000133,1610612742,away
20000134,1610612754,away
20000135,1610612738,away
20000136,1610612757,away
20000137,1610612750,away
20000138,1610612749,away
20000139,1610612756,away
20000140,1610612747,away
20000141,1610612741,away
20000142,1610612760,away
20000143,1610612742,away
20000144,1610612744,away
20000145,1610612757,away
20000146,1610612766,away
20000147,1610612741,away
20000148,1610612755,away
20000149,1610612766,away
20000150,1610612742,away
20000151,1610612751,away
20000152,1610612743,away
20000153,1610612757,away
20000154,1610612752,away
20000155,1610612765,away
20000156,1610612745,away
20000157,1610612760,away
20000158,1610612741,away
20000159,1610612745,away
20000160,1610612739,away
20000161,1610612755,away
20000162,1610612752,away
20000163,1610612757,away
20000164,1610612763,away
20000165,1610612760,away
20000166,1610612743,away
20000167,1610612751,away
20000168,1610612744,away
20000169,1610612741,away
20000170,1610612761,away
20000171,1610612753,away
20000172,1610612755,away
20000173,1610612748,away
20000174,1610612763,away
20000175,1610612764,away
20000176,1610612766,away
20000177,1610612759,away
20000178,1610612751,away
20000179,1610612744,away
20000180,1610612750,away
20000181,1610612746,away
20000182,1610612761,away
20000183,1610612749,away
20000184,1610612737,away
20000185,1610612745,away
20000186,1610612739,away
20000187,1610612743,away
20000188,1610612755,away
20000189,1610612756,away
20000190,1610612750,away
20000191,1610612760,away
20000192,1610612751,away
20000193,1610612763,away
20000194,1610612741,away
20000195,1610612762,away
20000196,1610612763,away
20000197,1610612749,away
20000198,1610612747,away
20000199,1610612762,away
20000200,1610612737,away
20000201,1610612749,away
20000202,1610612738,away
20000203,1610612750,away
20000204,1610612761,away
20000205,1610612758,away
20000206,1610612754,away
20000207,1610612760,away
20000208,1610612748,away
20000209,1610612764,away
20000210,1610612762,away
20000211,1610612761,away
20000212,1610612751,away
20000213,1610612743,away
20000214,1610612758,away
20000215,1610612744,away
20000216,1610612756,away
20000217,1610612741,away
20000218,1610612738,away
20000219,1610612745,away
20000220,1610612754,away
20000221,1610612742,away
20000222,1610612747,away
20000223,1610612750,away
20000224,1610612766,away
20000225,1610612751,away
20000226,1610612762,away
20000227,1610612746,away
20000228,1610612739,away
20000229,1610612752,away
20000230,1610612759,away
20000231,1610612756,away
20000232,1610612754,away
20000233,1610612750,away
20000234,1610612753,away
20000235,1610612748,away
20000236,1610612762,away
20000237,1610612749,away
20000238,1610612755,away
20000239,1610612757,away
20000240,1610612760,away
20000241,1610612742,away
20000242,1610612746,away
20000243,1610612764,away
20000244,1610612754,away
20000245,1610612757,away
20000246,1610612742,away
20000247,1610612744,away
20000248,1610612759,away
20000249,1610612746,away
20000250,1610612755,away
20000251,1610612738,away
20000252,1610612748,away
20000253,1610612766,away
20000254,1610612751,away
20000255,1610612741,away
20000256,1610612742,away
20000257,1610612761,away
20000258,1610612755,away
20000259,1610612759,away
20000260,1610612765,away
20000261,1610612749,away
20000262,1610612746,away
20000263,1610612743,away
20000264,1610612754,away
20000265,1610612739,away
20000266,1610612752,away
20000267,1610612747,away
20000268,1610612761,away
20000269,1610612765,away
20000270,1610612743,away
20000271,1610612756,away
20000272,1610612764,away
20000273,1610612752,away
20000274,1610612763,away
20000275,1610612754,away
20000276,1610612756,away
20000277,1610612737,away
20000278,1610612746,away
20000279,1610612741,away
20000280,1610612760,away
20000281,1610612761,away
20000282,1610612745,away
20000283,1610612755,away
20000284,1610612743,away
20000285,1610612737,away
20000286,1610612766,away
20000287,1610612764,away
20000288,1610612746,away
20000289,1610612741,away
20000290,1610612744,away
20000291,1610612765,away
20000292,1610612745,away
20000293,1610612755,away
20000294,1610612743,away
20000295,1610612742,away
20000296,1610612756,away
20000297,1610612765,away
20000298,1610612748,away
20000299,1610612750,away
20000300,1610612756,away
20000301,1610612759,away
20000302,1610612753,away
20000303,1610612745,away
20000304,1610612750,away
20000305,1610612758,away
20000306,1610612754,away
20000307,1610612742,away
20000308,1610612748,away
20000309,1610612749,away
20000310,1610612757,away
20000311,1610612753,away
20000312,1610612741,away
20000313,1610612755,away
20000314,1610612758,away
20000315,1610612737,away
20000316,1610612742,away
20000317,1610612749,away
20000318,1610612759,away
20000319,1610612748,away
20000320,1610612747,away
20000321,1610612760,away
20000322,1610612752,away
20000323,1610612743,away
20000324,1610612745,away
20000325,1610612758,away
20000326,1610612762,away
20000327,1610612742,away
20000328,1610612766,away
20000329,1610612750,away
20000330,1610612739,away
20000331,1610612737,away
20000332,1610612761,away
20000333,1610612746,away
20000334,1610612763,away
20000335,1610612753,away
20000336,1610612748,away
20000337,1610612738,away
20000338,1610612751,away
20000339,1610612762,away
20000340,1610612755,away
20000341,1610612754,away
20000342,1610612743,away
20000343,1610612756,away
20000344,1610612748,away
20000345,1610612749,away
20000346,1610612758,away
20000347,1610612747,away
20000348,1610612742,away
20000349,1610612764,away
20000350,1610612753,away
20000351,1610612742,away
20000352,1610612747,away
20000353,1610612752,away
20000354,1610612762,away
20000355,1610612754,away
20000356,1610612759,away
20000357,1610612765,away
20000358,1610612750,away
20000359,1610612764,away
20000360,1610612751,away
20000361,1610612762,away
20000362,1610612748,away
20000363,1610612761,away
20000364,1610612757,away
20000365,1610612739,away
20000366,1610612765,away
20000367,1610612750,away
20000368,1610612758,away
20000369,1610612764,away
20000370,1610612738,away
20000371,1610612741,away
20000372,1610612751,away
20000373,1610612747,away
20000374,1610612752,away
20000375,1610612739,away
20000376,1610612737,away
20000377,1610612762,away
20000378,1610612766,away
20000379,1610612747,away
20000380,1610612744,away
20000381,1610612757,away
20000382,1610612764,away
20000383,1610612758,away
20000384,1610612748,away
20000385,1610612739,away
20000386,1610612759,away
20000387,1610612754,away
20000388,1610612741,away
20000389,1610612738,away
20000390,1610612762,away
20000391,1610612744,away
20000392,1610612743,away
20000393,1610612763,away
20000394,1610612760,away
20000395,1610612764,away
20000396,1610612753,away
20000397,1610612757,away
20000398,1610612737,away
20000399,1610612739,away
20000400,1610612738,away
20000401,1610612753,away
20000402,1610612761,away
20000403,1610612760,away
20000404,1610612745,away
20000405,1610612746,away
20000406,1610612755,away
20000407,1610612756,away
20000408,1610612752,away
20000409,1610612754,away
20000410,1610612760,away
20000411,1610612755,away
20000412,1610612738,away
20000413,1610612765,away
20000414,1610612749,away
20000415,1610612759,away
20000416,1610612737,away
20000417,1610612746,away
20000418,1610612761,away
20000419,1610612757,away
20000420,1610612747,away
20000421,1610612766,away
20000422,1610612741,away
20000423,1610612764,away
20000424,1610612739,away
20000425,1610612762,away
20000426,1610612763,away
20000427,1610612753,away
20000428,1610612748,away
20000429,1610612759,away
20000430,1610612752,away
20000431,1610612745,away
20000432,1610612749,away
20000433,1610612761,away
20000434,1610612747,away
20000435,1610612755,away
20000436,1610612766,away
20000437,1610612744,away
20000438,1610612765,away
20000439,1610612751,away
20000440,1610612745,away
20000441,1610612766,away
20000442,1610612750,away
20000443,1610612751,away
20000444,1610612738,away
20000445,1610612745,away
20000446,1610612749,away
20000447,1610612748,away
20000448,1610612761,away
20000449,1610612756,away
20000450,1610612754,away
20000451,1610612752,away
20000452,1610612737,away
20000453,1610612739,away
20000454,1610612765,away
20000455,1610612746,away
20000456,1610612762,away
20000457,1610612743,away
20000458,1610612754,away
20000459,1610612766,away
20000460,1610612753,away
20000461,1610612751,away
20000462,1610612764,away
20000463,1610612760,away
20000464,1610612765,away
20000465,1610612744,away
20000466,1610612760,away
20000467,1610612742,away
20000468,1610612762,away
20000469,1610612763,away
20000470,1610612766,away
20000471,1610612754,away
20000472,1610612749,away
20000473,1610612744,away
20000474,1610612742,away
20000475,1610612738,away
20000476,1610612753,away
20000477,1610612755,away
20000478,1610612762,away
20000479,1610612765,away
20000480,1610612764,away
20000481,1610612760,away
20000482,1610612766,away
20000483,1610612750,away
20000484,1610612746,away
20000485,1610612749,away
20000486,1610612757,away
20000487,1610612744,away
20000488,1610612751,away
20000489,1610612742,away
20000490,1610612754,away
20000491,1610612750,away
20000492,1610612755,away
20000493,1610612759,away
20000494,1610612741,away
20000495,1610612760,away
20000496,1610612745,away
20000497,1610612764,away
20000498,1610612754,away
20000499,1610612743,away
20000500,1610612748,away
20000501,1610612757,away
20000502,1610612760,away
20000503,1610612761,away
20000504,1610612742,away
20000505,1610612743,away
20000506,1610612739,away
20000507,1610612745,away
20000508,1610612753,away
20000509,1610612757,away
20000510,1610612744,away
20000511,1610612742,away
20000512,1610612754,away
20000513,1610612761,away
20000514,1610612755,away
20000515,1610612759,away
20000516,1610612766,away
20000517,1610612746,away
20000518,1610612758,away
20000519,1610612739,away
20000520,1610612763,away
20000521,1610612757,away
20000522,1610612759,away
20000523,1610612744,away
20000524,1610612746,away
20000525,1610612748,away
20000526,1610612751,away
20000527,1610612756,away
20000528,1610612758,away
20000529,1610612747,away
20000530,1610612739,away
20000531,1610612741,away
20000532,1610612766,away
20000533,1610612757,away
20000534,1610612760,away
20000535,1610612759,away
20000536,1610612766,away
20000537,1610612749,away
20000538,1610612741,away
20000539,1610612751,away
20000540,1610612746,away
20000541,1610612738,away
20000542,1610612758,away
20000543,1610612760,away
20000544,1610612745,away
20000545,1610612763,away
20000546,1610612739,away
20000547,1610612765,away
20000548,1610612746,away
20000549,1610612761,away
20000550,1610612739,away
20000551,1610612764,away
20000552,1610612741,away
20000553,1610612742,away
20000554,1610612761,away
20000555,1610612763,away
20000556,1610612750,away
20000557,1610612738,away
20000558,1610612756,away
20000559,1610612737,away
20000560,1610612765,away
20000561,1610612753,away
20000562,1610612738,away
20000563,1610612745,away
20000564,1610612748,away
20000565,1610612751,away
20000566,1610612749,away
20000567,1610612764,away
20000568,1610612752,away
20000569,1610612739,away
20000570,1610612744,away
20000571,1610612745,away
20000572,1610612750,away
20000573,1610612748,away
20000574,1610612741,away
20000575,1610612743,away
20000576,1610612753,away
20000577,1610612758,away
20000578,1610612754,away
20000579,1610612761,away
20000580,1610612737,away
20000581,1610612749,away
20000582,1610612756,away
20000583,1610612748,away
20000584,1610612738,away
20000585,1610612758,away
20000586,1610612750,away
20000587,1610612757,away
20000588,1610612737,away
20000589,1610612766,away
20000590,1610612761,away
20000591,1610612757,away
20000592,1610612752,away
20000593,1610612756,away
20000594,1610612755,away
20000595,1610612763,away
20000596,1610612745,away
20000597,1610612744,away
20000598,1610612751,away
20000599,1610612747,away
20000600,1610612761,away
20000601,1610612752,away
20000602,1610612741,away
20000603,1610612756,away
20000604,1610612755,away
20000605,1610612760,away
20000606,1610612751,away
20000607,1610612757,away
20000608,1610612753,away
20000609,1610612763,away
20000610,1610612743,away
20000611,1610612759,away
20000612,1610612756,away
20000613,1610612765,away
20000614,1610612764,away
20000615,1610612763,away
20000616,1610612751,away
20000617,1610612760,away
20000618,1610612756,away
20000619,1610612748,away
20000620,1610612745,away
20000621,1610612737,away
20000622,1610612761,away
20000623,1610612765,away
20000624,1610612757,away
20000625,1610612742,away
20000626,1610612759,away
20000627,1610612758,away
20000628,1610612751,away
20000629,1610612747,away
20000630,1610612755,away
20000631,1610612765,away
20000632,1610612739,away
20000633,1610612756,away
20000634,1610612749,away
20000635,1610612762,away
20000636,1610612759,away
20000637,1610612766,away
20000638,1610612751,away
20000639,1610612754,away
20000640,1610612755,away
20000641,1610612747,away
20000642,1610612748,away
20000643,1610612744,away
20000644,1610612741,away
20000645,1610612762,away
20000646,1610612765,away
20000647,1610612753,away
20000648,1610612761,away
20000649,1610612738,away
20000650,1610612743,away
20000651,1610612747,away
20000652,1610612746,away
20000653,1610612763,away
20000654,1610612755,away
20000655,1610612750,away
20000656,1610612748,away
20000657,1610612746,away
20000658,1610612766,away
20000659,1610612756,away
20000660,1610612741,away
20000661,1610612752,away
20000662,1610612753,away
20000663,1610612748,away
20000664,1610612738,away
20000665,1610612743,away
20000666,1610612766,away
20000667,1610612763,away
20000668,1610612743,away
20000669,1610612737,away
20000670,1610612750,away
20000671,1610612765,away
20000672,1610612754,away
20000673,1610612744,away
20000674,1610612745,away
20000675,1610612760,away
20000676,1610612757,away
20000677,1610612741,away
20000678,1610612739,away
20000679,1610612755,away
20000680,1610612752,away
20000681,1610612766,away
20000682,1610612758,away
20000683,1610612743,away
20000684,1610612742,away
20000685,1610612738,away
20000686,1610612752,away
20000687,1610612744,away
20000688,1610612741,away
20000689,1610612763,away
20000690,1610612737,away
20000691,1610612754,away
20000692,1610612753,away
20000693,1610612743,away
20000694,1610612758,away
20000695,1610612741,away
20000696,1610612749,away
20000697,1610612742,away
20000698,1610612745,away
20000699,1610612764,away
20000700,1610612759,away
20000701,1610612758,away
20000702,1610612756,away
20000703,1610612746,away
20000704,1610612760,away
20000705,1610612762,away
20000706,1610612759,away
20000707,1610612737,away
20000708,1610612743,away
20000709,1610612745,away
20000710,1610612747,away
20000711,1610612746,away
20000712,1610612761,away
20000713,1610612766,away
20000714,1610612737,away
20000715,1610612755,away
20000716,1610612764,away
20000717,1610612742,away
20000718,1610612752,away
20000719,1610612758,away
20000720,1610612756,away
20000721,1610612750,away
20000722,1610612738,away
20000723,1610612747,away
20000724,1610612746,away
20000725,1610612749,away
20000726,1610612751,away
20000727,1610612752,away
20000728,1610612750,away
20000729,1610612748,away
20000730,1610612765,away
20000731,1610612739,away
20000732,1610612764,away
20000733,1610612758,away
20000734,1610612738,away
20000735,1610612744,away
20000736,1610612751,away
20000737,1610612746,away
20000738,1610612745,away
20000739,1610612747,away
20000740,1610612759,away
20000741,1610612763,away
20000742,1610612743,away
20000743,1610612748,away
20000744,1610612766,away
20000745,1610612764,away
20000746,1610612739,away
20000747,1610612738,away
20000748,1610612737,away
20000749,1610612746,away
20000750,1610612756,away
20000751,1610612752,away
20000752,1610612759,away
20000753,1610612747,away
20000754,1610612763,away
20000755,1610612764,away
20000756,1610612737,away
20000757,1610612762,away
20000758,1610612741,away
20000759,1610612746,away
20000760,1610612759,away
20000761,1610612738,away
20000762,1610612748,away
20000763,1610612763,away
20000764,1610612756,away
20000765,1610612744,away
20000766,1610612749,away
20000767,1610612747,away
20000768,1610612738,away
20000769,1610612737,away
20000770,1610612743,away
20000771,1610612761,away
20000772,1610612763,away
20000773,1610612756,away
20000774,1610612746,away
20000775,1610612752,away
20000776,1610612745,away
20000777,1610612747,away
20000778,1610612743,away
20000779,1610612758,away
20000780,1610612744,away
20000781,1610612746,away
20000782,1610612738,away
20000783,1610612762,away
20000784,1610612756,away
20000785,1610612758,away
20000786,1610612754,away
20000787,1610612755,away
20000788,1610612763,away
20000789,1610612744,away
20000790,1610612753,away
20000791,1610612738,away
20000792,1610612737,away
20000793,1610612762,away
20000794,1610612761,away
20000795,1610612751,away
20000796,1610612755,away
20000797,1610612763,away
20000798,1610612759,away
20000799,1610612737,away
20000800,1610612757,away
20000801,1610612758,away
20000802,1610612764,away
20000803,1610612739,away
20000804,1610612750,away
20000805,1610612744,away
20000806,1610612762,away
20000807,1610612753,away
20000808,1610612760,away
20000809,1610612749,away
20000810,1610612754,away
20000811,1610612744,away
20000812,1610612757,away
20000813,1610612753,away
20000814,1610612737,away
20000815,1610612742,away
20000816,1610612760,away
20000817,1610612764,away
20000818,1610612739,away
20000819,1610612757,away
20000820,1610612746,away
20000821,1610612742,away
20000822,1610612748,away
20000823,1610612751,away
20000824,1610612761,away
20000825,1610612749,away
20000826,1610612745,away
20000827,1610612765,away
20000828,1610612747,away
20000829,1610612763,away
20000830,1610612753,away
20000831,1610612758,away
20000832,1610612738,away
20000833,1610612760,away
20000834,1610612745,away
20000835,1610612756,away
20000836,1610612746,away
20000837,1610612762,away
20000838,1610612764,away
20000839,1610612739,away
20000840,1610612766,away
20000841,1610612751,away
20000842,1610612748,away
20000843,1610612760,away
20000844,1610612752,away
20000845,1610612750,away
20000846,1610612758,away
20000847,1610612741,away
20000848,1610612745,away
20000849,1610612737,away
20000850,1610612743,away
20000851,1610612744,away
20000852,1610612747,away
20000853,1610612766,away
20000854,1610612762,away
20000855,1610612752,away
20000856,1610612748,away
20000857,1610612753,away
20000858,1610612751,away
20000859,1610612760,away
20000860,1610612744,away
20000861,1610612749,away
20000862,1610612742,away
20000863,1610612765,away
20000864,1610612762,away
20000865,1610612743,away
20000866,1610612759,away
20000867,1610612754,away
20000868,1610612750,away
20000869,1610612739,away
20000870,1610612756,away
20000871,1610612747,away
20000872,1610612761,away
20000873,1610612763,away
20000874,1610612759,away
20000875,1610612749,away
20000876,1610612751,away
20000877,1610612765,away
20000878,1610612742,away
20000879,1610612745,away
20000880,1610612764,away
20000881,1610612752,away
20000882,1610612760,away
20000883,1610612758,away
20000884,1610612761,away
20000885,1610612753,away
20000886,1610612746,away
20000887,1610612759,away
20000888,1610612764,away
20000889,1610612752,away
20000890,1610612737,away
20000891,1610612750,away
20000892,1610612741,away
20000893,1610612739,away
20000894,1610612744,away
20000895,1610612756,away
20000896,1610612759,away
20000897,1610612743,away
20000898,1610612761,away
20000899,1610612757,away
20000900,1610612751,away
20000901,1610612750,away
20000902,1610612749,away
20000903,1610612741,away
20000904,1610612744,away
20000905,1610612755,away
20000906,1610612748,away
20000907,1610612749,away
20000908,1610612754,away
20000909,1610612746,away
20000910,1610612745,away
20000911,1610612760,away
20000912,1610612762,away
20000913,1610612761,away
20000914,1610612741,away
20000915,1610612748,away
20000916,1610612746,away
20000917,1610612743,away
20000918,1610612739,away
20000919,1610612758,away
20000920,1610612763,away
20000921,1610612749,away
20000922,1610612751,away
20000923,1610612754,away
20000924,1610612738,away
20000925,1610612757,away
20000926,1610612765,away
20000927,1610612758,away
20000928,1610612763,away
20000929,1610612753,away
20000930,1610612755,away
20000931,1610612750,away
20000932,1610612754,away
20000933,1610612762,away
20000934,1610612756,away
20000935,1610612761,away
20000936,1610612747,away
20000937,1610612760,away
20000938,1610612750,away
20000939,1610612751,away
20000940,1610612738,away
20000941,1610612758,away
20000942,1610612747,away
20000943,1610612763,away
20000944,1610612766,away
20000945,1610612737,away
20000946,1610612760,away
20000947,1610612751,away
20000948,1610612738,away
20000949,1610612744,away
20000950,1610612762,away
20000951,1610612741,away
20000952,1610612763,away
20000953,1610612764,away
20000954,1610612765,away
20000955,1610612755,away
20000956,1610612756,away
20000957,1610612759,away
20000958,1610612747,away
20000959,1610612749,away
20000960,1610612758,away
20000961,1610612739,away
20000962,1610612751,away
20000963,1610612762,away
20000964,1610612760,away
20000965,1610612747,away
20000966,1610612757,away
20000967,1610612755,away
20000968,1610612763,away
20000969,1610612754,away
20000970,1610612752,away
20000971,1610612753,away
20000972,1610612757,away
20000973,1610612765,away
20000974,1610612764,away
20000975,1610612755,away
20000976,1610612745,away
20000977,1610612759,away
20000978,1610612741,away
20000979,1610612761,away
20000980,1610612753,away
20000981,1610612747,away
20000982,1610612742,away
20000983,1610612764,away
20000984,1610612738,away
20000985,1610612759,away
20000986,1610612763,away
20000987,1610612757,away
20000988,1610612745,away
20000989,1610612765,away
20000990,1610612756,away
20000991,1610612751,away
20000992,1610612737,away
20000993,1610612763,away
20000994,1610612766,away
20000995,1610612753,away
20000996,1610612743,away
20000997,1610612755,away
20000998,1610612764,away
20000999,1610612743,away
20001000,1610612766,away
20001001,1610612764,away
20001002,1610612765,away
20001003,1610612745,away
20001004,1610612741,away
20001005,1610612754,away
20001006,1610612759,away
20001007,1610612763,away
20001008,1610612737,away
20001009,1610612751,away
20001010,1610612747,away
20001011,1610612749,away
20001012,1610612743,away
20001013,1610612742,away
20001014,1610612747,away
20001015,1610612752,away
20001016,1610612746,away
20001017,1610612739,away
20001018,1610612754,away
20001019,1610612761,away
20001020,1610612738,away
20001021,1610612762,away
20001022,1610612766,away
20001023,1610612765,away
20001024,1610612752,away
20001025,1610612743,away
20001026,1610612753,away
20001027,1610612739,away
20001028,1610612758,away
20001029,1610612742,away
20001030,1610612750,away
20001031,1610612744,away
20001032,1610612754,away
20001033,1610612738,away
20001034,1610612748,away
20001035,1610612756,away
20001036,1610612762,away
20001037,1610612752,away
20001038,1610612754,away
20001039,1610612744,away
20001040,1610612743,away
20001041,1610612751,away
20001042,1610612753,away
20001043,1610612739,away
20001044,1610612742,away
20001045,1610612750,away
20001046,1610612752,away
20001047,1610612746,away
20001048,1610612745,away
20001049,1610612743,away
20001050,1610612748,away
20001051,1610612749,away
20001052,1610612739,away
20001053,1610612745,away
20001054,1610612754,away
20001055,1610612738,away
20001056,1610612753,away
20001057,1610612744,away
20001058,1610612749,away
20001059,1610612752,away
20001060,1610612742,away
20001061,1610612750,away
20001062,1610612762,away
20001063,1610612753,away
20001064,1610612766,away
20001065,1610612738,away
20001066,1610612755,away
20001067,1610612756,away
20001068,1610612765,away
20001069,1610612742,away
20001070,1610612760,away
20001071,1610612757,away
20001072,1610612747,away
20001073,1610612749,away
20001074,1610612748,away
20001075,1610612738,away
20001076,1610612756,away
20001077,1610612761,away
20001078,1610612755,away
20001079,1610612757,away
20001080,1610612749,away
20001081,1610612746,away
20001082,1610612764,away
20001083,1610612747,away
20001084,1610612737,away
20001085,1610612760,away
20001086,1610612759,away
20001087,1610612758,away
20001088,1610612747,away
20001089,1610612739,away
20001090,1610612761,away
20001091,1610612766,away
20001092,1610612741,away
20001093,1610612756,away
20001094,1610612749,away
20001095,1610612757,away
20001096,1610612758,away
20001097,1610612738,away
20001098,1610612765,away
20001099,1610612756,away
20001100,1610612762,away
20001101,1610612737,away
20001102,1610612763,away
20001103,1610612759,away
20001104,1610612754,away
20001105,1610612752,away
20001106,1610612741,away
20001107,1610612747,away
20001108,1610612759,away
20001109,1610612757,away
20001110,1610612749,away
20001111,1610612766,away
20001112,1610612738,away
20001113,1610612737,away
20001114,1610612764,away
20001115,1610612745,away
20001116,1610612755,away
20001117,1610612753,away
20001118,1610612741,away
20001119,1610612743,away
20001120,1610612742,away
20001121,1610612756,away
20001122,1610612746,away
20001123,1610612744,away
20001124,1610612750,away
20001125,1610612748,away
20001126,1610612741,away
20001127,1610612739,away
20001128,1610612761,away
20001129,1610612752,away
20001130,1610612742,away
20001131,1610612744,away
20001132,1610612755,away
20001133,1610612751,away
20001134,1610612762,away
20001135,1610612758,away
20001136,1610612750,away
20001137,1610612757,away
20001138,1610612737,away
20001139,1610612739,away
20001140,1610612753,away
20001141,1610612748,away
20001142,1610612738,away
20001143,1610612762,away
20001144,1610612758,away
20001145,1610612744,away
20001146,1610612760,away
20001147,1610612750,away
20001148,1610612745,away
20001149,1610612765,away
20001150,1610612761,away
20001151,1610612743,away
20001152,1610612746,away
20001153,1610612745,away
20001154,1610612751,away
20001155,1610612752,away
20001156,1610612739,away
20001157,1610612753,away
20001158,1610612766,away
20001159,1610612754,away
20001160,1610612762,away
20001161,1610612758,away
20001162,1610612757,away
20001163,1610612742,away
20001164,1610612749,away
20001165,1610612737,away
20001166,1610612752,away
20001167,1610612756,away
20001168,1610612742,away
20001169,1610612763,away
20001170,1610612741,away
20001171,1610612749,away
20001172,1610612764,away
20001173,1610612765,away
20001174,1610612755,away
20001175,1610612750,away
20001176,1610612746,away
20001177,1610612743,away
20001178,1610612759,away
20001179,1610612766,away
20001180,1610612765,away
20001181,1610612741,away
20001182,1610612761,away
20001183,1610612748,away
20001184,1610612754,away
20001185,1610612750,away
20001186,1610612758,away
20001187,1610612762,away
20001188,1610612763,away
20001189,1610612759,away
