Player ,ID,Size
Kevin Garnett,708,Big
Kobe Bryant,977,Small
Tim Duncan,1495,Big
Vince Carter,1713,Small
Dirk Nowitzki,1717,Big
Paul Pierce,1718,Small
Andre Miller,1889,Small
Jason Terry,1891,Small
Metta World Peace,1897,Small
Manu Ginobili,1938,Small
Mike Miller,2034,Small
Jamal Crawford,2037,Small
Tyson Chandler,2199,Big
Pau Gasol,2200,Big
Joe Johnson,2207,Small
Richard Jefferson,2210,Small
Zach Randolph,2216,Big
Tony Parker,2225,Small
Chris Andersen,2365,Big
Drew Gooden,2400,Big
Nene,2403,Big
Amar'e Stoudemire,2405,Big
Caron Butler,2406,Small
Tayshaun Prince,2419,Small
Matt Barnes,2440,Small
Rasual Butler,2446,Small
Luis Scola,2449,Big
LeBron James,2544,Small
Carmelo Anthony,2546,Small
Chris Bosh,2547,Big
Dwyane Wade,2548,Small
Chris Kaman,2549,Big
Kirk Hinrich,2550,Small
Nick Collison,2555,Big
David West,2561,Big
Boris Diaw,2564,Big
Kendrick Perkins,2570,Big
Leandro Barbosa,2571,Small
Steve Blake,2581,Small
Zaza Pachulia,2585,Big
Matt Bonner,2588,Big
Mo Williams,2590,Small
James Jones,2592,Small
Kyle Korver,2594,Small
Udonis Haslem,2617,Big
Dwight Howard,2730,Big
Shaun Livingston,2733,Small
Devin Harris,2734,Small
Luol Deng,2736,Small
Andre Iguodala,2738,Small
Kris Humphries,2743,Big
Al Jefferson,2744,Big
Josh Smith,2746,Big
J.R. Smith,2747,Small
Jameer Nelson,2749,Small
Tony Allen,2754,Small
Kevin Martin,2755,Small
Sasha Vujacic,2756,Small
Beno Udrih,2757,Small
Anderson Varejao,2760,Big
Trevor Ariza,2772,Small
Andrew Bogut,101106,Big
Marvin Williams,101107,Big
Chris Paul,101108,Small
Raymond Felton,101109,Small
Charlie Villanueva,101111,Big
Channing Frye,101112,Big
Deron Williams,101114,Small
Gerald Green,101123,Small
Jarrett Jack,101127,Small
Ian Mahinmi,101133,Big
David Lee,101135,Big
Brandon Bass,101138,Big
CJ Miles,101139,Small
Ersan Ilyasova,101141,Big
Monta Ellis,101145,Small
Lou Williams,101150,Small
Amir Johnson,101161,Big
Marcin Gortat,101162,Big
Ronnie Price,101179,Small
Jose Calderon,101181,Small
Charles Hayes,101236,Big
Andrea Bargnani,200745,Big
LaMarcus Aldridge,200746,Big
Randy Foye,200751,Small
Rudy Gay,200752,Small
J.J. Redick,200755,Small
Thabo Sefolosha,200757,Small
Rajon Rondo,200765,Small
Kyle Lowry,200768,Small
Steve Novak,200779,Small
P.J. Tucker,200782,Small
Paul Millsap,200794,Big
Lou Amundson,200811,Big
Jose Juan Barea,200826,Small
Kevin Durant,201142,Small
Al Horford,201143,Big
Mike Conley,201144,Small
Jeff Green,201145,Small
Corey Brewer,201147,Small
Brandan Wright,201148,Big
Joakim Noah,201149,Big
Spencer Hawes,201150,Big
Thaddeus Young,201152,Big
Rodney Stuckey,201155,Small
Nick Young,201156,Small
Marco Belinelli,201158,Small
Jason Smith,201160,Big
Jared Dudley,201162,Small
Aaron Brooks,201166,Small
Arron Afflalo,201167,Small
Tiago Splitter,201168,Big
Carl Landry,201171,Big
Josh McRoberts,201177,Big
Marc Gasol,201188,Big
Ramon Sessions,201196,Small
Joel Anthony,201202,Big
C.J. Watson,201228,Small
Anthony Tolliver,201229,Big
O.J. Mayo,201564,Small
Derrick Rose,201565,Small
Russell Westbrook,201566,Small
Kevin Love,201567,Big
Danilo Gallinari,201568,Small
Eric Gordon,201569,Small
D.J. Augustin,201571,Small
Brook Lopez,201572,Big
Jerryd Bayless,201573,Small
Jason Thompson,201574,Big
Brandon Rush,201575,Small
Robin Lopez,201577,Big
Marreese Speights,201578,Big
Roy Hibbert,201579,Big
J.J. Hickson,201581,Big
Alexis Ajinca,201582,Big
Ryan Anderson,201583,Big
Courtney Lee,201584,Small
Kosta Koufos,201585,Big
Serge Ibaka,201586,Big
Nicolas Batum,201587,Small
George Hill,201588,Small
Darrell Arthur,201589,Big
Mario Chalmers,201596,Small
DeAndre Jordan,201599,Big
Omer Asik,201600,Big
Luc Mbah a Moute,201601,Big
Sonny Weems,201603,Small
Goran Dragic,201609,Small
Sasha Kaun,201619,Big
Anthony Morrow,201627,Small
Blake Griffin,201933,Big
James Harden,201935,Small
Ricky Rubio,201937,Small
Stephen Curry,201939,Small
Jordan Hill,201941,Big
DeMar DeRozan,201942,Small
Gerald Henderson,201945,Small
Tyler Hansbrough,201946,Big
James Johnson,201949,Big
Jrue Holiday,201950,Small
Ty Lawson,201951,Small
Jeff Teague,201952,Small
Darren Collison,201954,Small
Omri Casspi,201956,Small
Taj Gibson,201959,Big
DeMarre Carroll,201960,Small
Wayne Ellington,201961,Small
Toney Douglas,201962,Small
Dante Cunningham,201967,Big
DeJuan Blair,201971,Big
Jonas Jerebko,201973,Big
Jodie Meeks,201975,Small
Patrick Beverley,201976,Small
Marcus Thornton,201977,Small
Chase Budinger,201978,Small
Danny Green,201980,Small
Patrick Mills,201988,Small
Garrett Temple,202066,Small
Wesley Matthews,202083,Small
Alonzo Gee,202087,Small
John Wall,202322,Small
Evan Turner,202323,Small
Derrick Favors,202324,Big
Wesley Johnson,202325,Small
DeMarcus Cousins,202326,Big
Greg Monroe,202328,Big
Al-Farouq Aminu,202329,Small
Gordon Hayward,202330,Small
Paul George,202331,Small
Cole Aldrich,202332,Big
Ed Davis,202334,Big
Patrick Patterson,202335,Big
Luke Babbitt,202337,Small
Kevin Seraphin,202338,Big
Eric Bledsoe,202339,Small
Avery Bradley,202340,Small
James Anderson,202341,Small
Trevor Booker,202344,Big
Greivis Vasquez,202349,Small
Tibor Pleiss,202353,Big
Hassan Whiteside,202355,Big
Nemanja Bjelica,202357,Big
Lance Stephenson,202362,Small
Jeremy Evans,202379,Small
Donald Sloan,202388,Small
Timofey Mozgov,202389,Big
Gary Neal,202390,Small
Jeremy Lin,202391,Small
Ish Smith,202397,Small
Elijah Millsap,202407,Small
Lance Thomas,202498,Small
Derrick Williams,202682,Big
Enes Kanter,202683,Big
Tristan Thompson,202684,Big
Jonas Valanciunas,202685,Big
Bismack Biyombo,202687,Big
Brandon Knight,202688,Small
Kemba Walker,202689,Small
Jimmer Fredette,202690,Small
Klay Thompson,202691,Small
Alec Burks,202692,Small
Markieff Morris,202693,Big
Marcus Morris,202694,Big
Kawhi Leonard,202695,Small
Nikola Vucevic,202696,Big
Tobias Harris,202699,Small
Kenneth Faried,202702,Big
Nikola Mirotic,202703,Big
Reggie Jackson,202704,Small
Norris Cole,202708,Small
Cory Joseph,202709,Small
Jimmy Butler,202710,Small
Bojan Bogdanovic,202711,Small
Kyle Singler,202713,Small
Shelvin Mack,202714,Small
Chandler Parsons,202718,Small
Jon Leuer,202720,Big
Lavoy Allen,202730,Big
E'Twaun Moore,202734,Small
Isaiah Thomas,202738,Small
Anthony Davis,203076,Big
Bradley Beal,203078,Small
Dion Waiters,203079,Small
Thomas Robinson,203080,Big
Damian Lillard,203081,Small
Terrence Ross,203082,Small
Andre Drummond,203083,Big
Harrison Barnes,203084,Small
Austin Rivers,203085,Small
Meyers Leonard,203086,Big
Jeremy Lamb,203087,Small
Kendall Marshall,203088,Small
John Henson,203089,Big
Maurice Harkless,203090,Small
Tyler Zeller,203092,Big
Terrence Jones,203093,Big
Andrew Nicholson,203094,Big
Evan Fournier,203095,Small
Jared Sullinger,203096,Big
John Jenkins,203098,Small
Jared Cunningham,203099,Small
Miles Plumlee,203101,Big
Festus Ezeli,203105,Big
Jae Crowder,203109,Small
Draymond Green,203110,Big
Quincy Acy,203112,Big
Khris Middleton,203114,Small
Will Barton,203115,Small
Mike Scott,203118,Big
Kostas Papanikolaou,203123,Small
Kyle O'Quinn,203124,Big
Robert Sacre,203135,Big
Hollis Thompson,203138,Small
Mirza Teletovic,203141,Big
Chris Copeland,203142,Small
Pablo Prigioni,203143,Small
Kent Bazemore,203145,Small
Brian Roberts,203148,Small
Chris Johnson,203187,Small
Justin Holiday,203200,Small
JaMychal Green,203210,Big
Aron Baynes,203382,Big
Nerlens Noel,203457,Big
Alex Len,203458,Big
Allen Crabbe,203459,Small
Andre Roberson,203460,Small
Anthony Bennett,203461,Big
Archie Goodwin,203462,Small
Ben McLemore,203463,Small
C.J. McCollum,203468,Small
Cody Zeller,203469,Big
Dennis Schroder,203471,Small
Dewayne Dedmon,203473,Big
Erick Green,203475,Small
Gorgui Dieng,203476,Big
Isaiah Canaan,203477,Small
Kelly Olynyk,203482,Big
Kentavious Caldwell-Pope,203484,Small
Mason Plumlee,203486,Big
Michael Carter-Williams,203487,Small
Mike Muscala,203488,Big
Otto Porter,203490,Small
Ray McCallum,203492,Small
Reggie Bullock,203493,Small
Robert Covington,203496,Small
Rudy Gobert,203497,Big
Shabazz Muhammad,203498,Small
Shane Larkin,203499,Small
Steven Adams,203500,Big
Tim Hardaway Jr.,203501,Small
Tony Snell,203503,Small
Trey Burke,203504,Small
Victor Oladipo,203506,Small
Giannis Antetokounmpo,203507,Small
Sergey Karasev,203508,Small
Lucas Nogueira,203512,Big
Phil Pressey,203515,Small
James Ennis,203516,Small
Matthew Dellavedova,203521,Small
Solomon Hill,203524,Small
Raul Neto,203526,Small
Ryan Kelly,203527,Big
Joffrey Lauvergne,203530,Big
Ian Clark,203546,Small
Seth Curry,203552,Small
