gameidnum,home_team_id,away_team_id,home_player1,home_player2,home_player3,home_player4,home_player5,home_player6,home_player7,home_player8,home_player9,home_player10,home_player11,home_player12,home_player13,home_player14,home_player15,away_player1,away_player2,away_player3,away_player4,away_player5,away_player6,away_player7,away_player8,away_player9,away_player10,away_player11,away_player12,away_player13,away_player14,away_player15
0021500001,1610612737,1610612765,203145,200794,201143,2594,201952,200757,201168,203934,203471,203488,203118,203200,202714,,,202694,101141,203083,203484,202704,1626169,203382,2581,201975,201202,203493,203915,1626199,,
0021500002,1610612741,1610612739,203503,202703,2200,202710,201565,201166,203926,201149,202734,201959,203946,2550,1626171,,,2544,201567,202389,2747,2590,2210,202684,203521,2592,203099,2760,203925,201619,,
0021500003,1610612744,1610612740,203084,203110,101106,202691,201939,2738,2571,203105,203949,201578,2733,201575,201574,,,201967,203076,2570,201569,101126,202397,201582,202087,201583,201600,202337,201950,,,
0021500004,1610612753,1610612764,203095,202699,202696,203506,203901,203932,201228,1626209,203473,201160,101112,203894,203094,,,203490,2743,101162,203078,202322,201196,2400,2403,202390,201971,201162,1626162,202066,,
0021500005,1610612738,1610612755,203109,101135,203092,202340,203935,203096,202738,202323,101161,201973,1626179,1626175,203482,,,203138,203457,1626143,203960,203477,204456,203924,1626174,1626158,203496,203088,203917,,,
0021500006,1610612751,1610612741,2207,201152,201572,201961,203499,202388,202711,200745,1626178,203080,203900,101127,203508,,,203503,202703,2200,202710,201565,201166,201149,203926,201959,202734,2550,203946,1626171,,
0021500007,1610612765,1610612762,202694,101141,203083,203484,202704,201975,2581,201229,203382,1626169,203493,201202,203915,,,202330,202324,203497,203918,203526,203504,202692,1626168,204060,202407,202344,203187,202353,,
0021500008,1610612748,1610612766,2736,2547,202355,2548,201609,2617,1626159,201596,101123,201177,2365,203516,204020,,,203798,101107,2744,201587,202689,203469,202391,201150,203148,1626163,201946,1626151,203087,,
0021500009,1610612761,1610612754,201960,2449,202685,201942,200768,202687,202335,203082,202709,201949,203461,1626181,1626153,,,101139,202331,101133,101145,201588,201155,201941,202730,201978,1626202,203524,1626167,203963,,
0021500010,1610612745,1610612743,2772,203093,203991,201935,201951,1626149,201147,201976,1891,1626155,203909,2730,201977,,,201568,202702,203530,203914,1626144,2749,203115,200751,201589,203999,2034,203475,201581,,
