gameid_num,seasonid,gameid,away,home
0021500001,215,20151027DETATL,ATL,DET
0021500002,215,20151027CLECHI,CHI,CLE
0021500003,215,20151027NOPGSW,GSW,NOP
0021500004,215,20151028WASORL,ORL,WAS
0021500005,215,20151028PHIBOS,BOS,PHI
0021500006,215,20151028CHIBKN,BKN,CHI
0021500007,215,20151028UTADET,DET,UTA
0021500008,215,20151028CHAMIA,MIA,CHA
0021500009,215,20151028INDTOR,TOR,IND
0021500010,215,20151028DENHOU,HOU,DEN
0021500011,215,20151028CLEMEM,MEM,CLE
0021500012,215,20151028NYKMIL,MIL,NYK
0021500013,215,20151028SASOKC,OKC,SAS
0021500014,215,20151028DALPHX,PHX,DAL
0021500015,215,20151028NOPPOR,POR,NOP
0021500016,215,20151028LACSAC,SAC,LAC
0021500017,215,20151028MINLAL,LAL,MIN
0021500018,215,20151029MEMIND,IND,MEM
0021500019,215,20151029ATLNYK,NYK,ATL
0021500020,215,20151029DALLAC,LAC,DAL
0021500021,215,20151030MIACLE,CLE,MIA
0021500022,215,20151030OKCORL,ORL,OKC
0021500023,215,20151030UTAPHI,PHI,UTA
0021500024,215,20151030TORBOS,BOS,TOR
0021500025,215,20151030CHIDET,DET,CHI
0021500026,215,20151030CHAATL,ATL,CHA
0021500027,215,20151030WASMIL,MIL,WAS
0021500028,215,20151030BKNSAS,SAS,BKN
0021500029,215,20151030MINDEN,DEN,MIN
0021500030,215,20151030GSWHOU,HOU,GSW
0021500031,215,20151030LALSAC,SAC,LAL
0021500032,215,20151030PORPHX,PHX,POR
0021500033,215,20151031UTAIND,IND,UTA
0021500034,215,20151031NYKWAS,WAS,NYK
0021500035,215,20151031GSWNOP,NOP,GSW
0021500036,215,20151031BKNMEM,MEM,BKN
0021500037,215,20151031PHXPOR,POR,PHX
0021500038,215,20151031SACLAC,LAC,SAC
0021500039,215,20151101ATLCHA,CHA,ATL
0021500040,215,20151101SASBOS,BOS,SAS
0021500041,215,20151101HOUMIA,MIA,HOU
0021500042,215,20151101MILTOR,TOR,MIL
0021500043,215,20151101ORLCHI,CHI,ORL
0021500044,215,20151101DENOKC,OKC,DEN
0021500045,215,20151101DALLAL,LAL,DAL
0021500046,215,20151102CLEPHI,PHI,CLE
0021500047,215,20151102MILBKN,BKN,MIL
0021500048,215,20151102SASNYK,NYK,SAS
0021500049,215,20151102OKCHOU,HOU,OKC
0021500050,215,20151102PORMIN,MIN,POR
0021500051,215,20151102MEMGSW,GSW,MEM
0021500052,215,20151102PHXLAC,LAC,PHX
0021500053,215,20151103CHICHA,CHA,CHI
0021500054,215,20151103INDDET,DET,IND
0021500055,215,20151103ATLMIA,MIA,ATL
0021500056,215,20151103ORLNOP,NOP,ORL
0021500057,215,20151103TORDAL,DAL,TOR
0021500058,215,20151103MEMSAC,SAC,MEM
0021500059,215,20151103DENLAL,LAL,DEN
0021500060,215,20151104BOSIND,IND,BOS
0021500061,215,20151104SASWAS,WAS,SAS
0021500062,215,20151104BKNATL,ATL,BKN
0021500063,215,20151104NYKCLE,CLE,NYK
0021500064,215,20151104ORLHOU,HOU,ORL
0021500065,215,20151104PHIMIL,MIL,PHI
0021500066,215,20151104TOROKC,OKC,TOR
0021500067,215,20151104SACPHX,PHX,SAC
0021500068,215,20151104PORUTA,UTA,POR
0021500069,215,20151104LACGSW,GSW,LAC
0021500070,215,20151105OKCCHI,CHI,OKC
0021500071,215,20151105MIAMIN,MIN,MIA
0021500072,215,20151105CHADAL,DAL,CHA
0021500073,215,20151105UTADEN,DEN,UTA
0021500074,215,20151105MEMPOR,POR,MEM
0021500075,215,20151106TORORL,ORL,TOR
0021500076,215,20151106WASBOS,BOS,WAS
0021500077,215,20151106LALBKN,BKN,LAL
0021500078,215,20151106PHICLE,CLE,PHI
0021500079,215,20151106MILNYK,NYK,MIL
0021500080,215,20151106MIAIND,IND,MIA
0021500081,215,20151106ATLNOP,NOP,ATL
0021500082,215,20151106DETPHX,PHX,DET
0021500083,215,20151106DENGSW,GSW,DEN
0021500084,215,20151106HOUSAC,SAC,HOU
0021500085,215,20151107MINCHI,CHI,MIN
0021500087,215,20151107ORLPHI,PHI,ORL
0021500086,215,20151107WASATL,ATL,WAS
0021500088,215,20151107NOPDAL,DAL,NOP
0021500089,215,20151107BKNMIL,MIL,BKN
0021500090,215,20151107CHASAS,SAS,CHA
0021500091,215,20151107MEMUTA,UTA,MEM
0021500092,215,20151107GSWSAC,SAC,GSW
0021500093,215,20151107HOULAC,LAC,HOU
0021500094,215,20151108INDCLE,CLE,IND
0021500095,215,20151108LALNYK,NYK,LAL
0021500096,215,20151108TORMIA,MIA,TOR
0021500097,215,20151108PHXOKC,OKC,PHX
0021500098,215,20151108DETPOR,POR,DET
0021500099,215,20151109ORLIND,IND,ORL
0021500100,215,20151109CHIPHI,PHI,CHI
0021500101,215,20151109MINATL,ATL,MIN
0021500102,215,20151109PORDEN,DEN,POR
0021500103,215,20151109SASSAC,SAC,SAS
0021500104,215,20151109DETGSW,GSW,DET
0021500105,215,20151109MEMLAC,LAC,MEM
0021500106,215,20151110UTACLE,CLE,UTA
0021500107,215,20151110OKCWAS,WAS,OKC
0021500108,215,20151110LALMIA,MIA,LAL
0021500109,215,20151110NYKTOR,TOR,NYK
0021500110,215,20151110BOSMIL,MIL,BOS
0021500111,215,20151110CHAMIN,MIN,CHA
0021500112,215,20151110DALNOP,NOP,DAL
0021500113,215,20151111NYKCHA,CHA,NYK
0021500114,215,20151111LALORL,ORL,LAL
0021500115,215,20151111TORPHI,PHI,TOR
0021500116,215,20151111INDBOS,BOS,IND
0021500117,215,20151111NOPATL,ATL,NOP
0021500118,215,20151111LACDAL,DAL,LAC
0021500119,215,20151111BKNHOU,HOU,BKN
0021500120,215,20151111GSWMEM,MEM,GSW
0021500121,215,20151111MILDEN,DEN,MIL
0021500122,215,20151111DETSAC,SAC,DET
0021500123,215,20151111SASPOR,POR,SAS
0021500124,215,20151112UTAMIA,MIA,UTA
0021500125,215,20151112GSWMIN,MIN,GSW
0021500126,215,20151112LACPHX,PHX,LAC
0021500127,215,20151113MININD,IND,MIN
0021500128,215,20151113UTAORL,ORL,UTA
0021500129,215,20151113ATLBOS,BOS,ATL
0021500130,215,20151113CLENYK,NYK,CLE
0021500131,215,20151113NOPTOR,TOR,NOP
0021500132,215,20151113CHACHI,CHI,CHA
0021500133,215,20151113PORMEM,MEM,POR
0021500134,215,20151113PHIOKC,OKC,PHI
0021500135,215,20151113LALDAL,DAL,LAL
0021500136,215,20151113HOUDEN,DEN,HOU
0021500137,215,20151113BKNSAC,SAC,BKN
0021500138,215,20151114DETLAC,LAC,DET
0021500139,215,20151114ORLWAS,WAS,ORL
0021500140,215,20151114DALHOU,HOU,DAL
0021500141,215,20151114CLEMIL,MIL,CLE
0021500142,215,20151114PHISAS,SAS,PHI
0021500143,215,20151114DENPHX,PHX,DEN
0021500144,215,20151114BKNGSW,GSW,BKN
0021500145,215,20151115NOPNYK,NYK,NOP
0021500146,215,20151115MEMMIN,MIN,MEM
0021500147,215,20151115PORCHA,CHA,POR
0021500148,215,20151115UTAATL,ATL,UTA
0021500149,215,20151115BOSOKC,OKC,BOS
0021500150,215,20151115TORSAC,SAC,TOR
0021500151,215,20151115DETLAL,LAL,DET
0021500152,215,20151116DALPHI,PHI,DAL
0021500153,215,20151116INDCHI,CHI,IND
0021500154,215,20151116BOSHOU,HOU,BOS
0021500155,215,20151116OKCMEM,MEM,OKC
0021500156,215,20151116PORSAS,SAS,POR
0021500157,215,20151116LALPHX,PHX,LAL
0021500158,215,20151117MILWAS,WAS,MIL
0021500159,215,20151117ATLBKN,BKN,ATL
0021500160,215,20151117CLEDET,DET,CLE
0021500161,215,20151117MINMIA,MIA,MIN
0021500162,215,20151117CHANYK,NYK,CHA
0021500163,215,20151117DENNOP,NOP,DEN
